netid,% of videos watched
pa1348,64.74
ma1392,79.41
so212,3.81
de999,2.79
ja1602,3.86
pa127,98.97
iv1714,4.76
ja1684,12.74
ca1112,73.13
ma1275,71
he1414,31.97
vi81,8.4
jo871,81.47
jo405,12.3
se1009,93.65
mo1001,77.98
do1599,3.39
fr1195,56.32
au790,1.95
fr452,3.09
er490,8.63
st311,44.12
jo1438,26.29
ju1099,9.72
gr506,11.94
ta940,52.05
id268,94.07
ju1562,0.87
gu317,85.79
ru1330,0.28
pa580,2.42
cl392,100
so367,6.67
be437,19.31
ma556,100
al649,78.06
sh1627,1.44
wi1660,0.63
ca1122,76.77
ra1429,37.94
ra1587,0.27
br1203,48.47
co1104,29.03
di1428,31.03
jo1395,17.03
ma1415,100
ma960,100
br1452,20.67
da40,100
le1171,96.22
pr796,82.64
la123,87.8
la1635,6.41
br574,8.73
ja101,32.92
co1342,54.21
me445,96.32
ma325,60.91
su1046,70.8
ti1022,91.99
ju284,87.96
jo222,55
be126,21.35
st1421,86.29
al1355,29.6
jo167,91
ra725,37.33
sh759,100
ke1130,56.01
fa1396,17.28
ho1466,39.37
ca671,73.58
mi1515,6.12
sa1158,100
op498,75.88
je985,3.38
ma75,100
bo849,80.94
ge648,6.85
ce766,76.72
ma786,88.54
ra1000,1.63
ma537,10.61
ph462,100
su1344,88.92
ll517,14.53
es1,78.52
da1160,100
pe169,54.41
vi1409,24.22
pa29,15.76
do89,100
bi1674,12.79
jo911,85.56
ja1132,100
al228,8.73
ve67,19.33
mi1693,23.97
fi722,7.05
ag238,84.93
br594,6.03
zu762,100
mo278,31.77
an156,72.86
ja924,89.38
un204,98.11
ma1596,0.44
je673,51.78
fr1278,6.91
to581,68.09
xi675,72.98
jo485,90.98
en475,87.88
be22,4.24
zo431,100
is1210,0.53
br499,7.68
ei38,100
lu726,100
ru395,100
pe271,74.43
gr291,12.28
ot848,55.91
ma1119,2.93
ni1257,76.56
br478,90.55
ro1087,77.46
mi1590,0.66
br1381,11.57
pa79,0.28
ev176,100
ro131,100
yo1289,52.44
li905,73.43
ka667,2.69
ha789,84.67
ce691,86.12
lu23,95.52
ar1185,88.69
la1720,2.05
wi1181,1.69
sa782,53.78
as779,100
ga906,66.04
ad1191,100
fo1405,27.24
an354,21.85
ma872,100
et1201,65.42
ki139,3.59
es82,61.9
ch1605,0.6
su1239,15.7
pe651,0.15
me1622,0.78
za303,94.96
fo853,31.23
ch61,84.95
te1401,91.05
sh1652,1.18
do944,76.83
br353,100
au656,9
is1244,6.93
ch55,100
ja1618,1.99
ja1058,66.43
an182,4.68
ni85,100
de407,21.19
fr1155,86.94
do1146,84.53
lu1143,100
bl1331,0.5
ka1566,0.16
sh1453,82.04
co1213,69.79
qu504,100
ke1135,4.43
te1038,58.92
al1194,88.16
ch996,80.03
cl1030,70.57
wi1238,84.54
gu310,100
co135,81.3
wi99,86.46
sp155,100
rh730,87.84
ka817,21.5
el1448,100
ab1434,5.7
al751,12.95
an603,81.82
li433,11.39
ru443,13.62
am220,21.13
ea970,24.45
do1114,100
te646,61.02
mi592,100
zo1192,11.78
no1489,27.58
ja1025,97.59
he1219,0.92
ma1373,2.78
vi143,100
le319,86.62
do705,68.54
re1217,20.56
we1646,0.2
gl365,8.36
ce791,5.59
an1259,74.72
ow1043,39.58
gr895,17.5
ke937,100
or1182,55.7
ty1085,93.6
an1105,4.8
al805,54.43
ju1187,93.62
le851,100
iz1621,1.65
ra213,31.58
do253,67.73
za189,58.38
de939,39.45
ca1311,93.46
do1308,11.23
br314,39.97
ha172,80.49
he852,89.15
ca251,73.25
me267,100
ka727,2.4
gu151,57.78
te1190,45.59
co1475,60.99
ko1554,1.3
ly1410,97.34
gr971,88.35
ja918,32.13
ro1034,40.51
