netid,% of videos watched
ko1267,81.51
ra1430,100
fo1405,60.01
la449,63.24
ch503,1.07
na915,100
al1355,53.72
he852,100
fi722,30.58
li433,0.38
vi495,92.88
ab994,15.87
lu726,100
de1659,5.08
do1146,84.08
fe240,100
un204,85.63
so961,27.65
ra698,75.52
st1095,5.99
bo849,84.65
ju1099,0.87
el1124,100
ni372,76.71
ab273,29.11
do1114,100
ni1257,72.13
iz1621,1.56
ri1606,2.76
ma935,88.56
li286,2.86
mi1399,13.32
jo1290,10.19
ca671,100
br1514,6.84
su1046,86.05
ma1026,4.34
la976,56.03
as779,100
ju1187,84.94
br105,81.61
ma1392,96
ma960,100
ja1602,1.61
ni1517,5.47
ra638,77.09
ko1554,0.1
is193,2.53
ja188,8.51
to581,94.2
ja132,4.2
ma75,100
el247,66.39
an1482,19.97
vi143,100
re953,77.76
ji1464,93.47
pa1348,100
go150,2.35
co1422,11.44
mi329,8.33
fi1037,76.03
al1431,2.32
ra1429,77.47
ar257,0.06
ed1424,3.24
je1177,27.13
ju876,72.39
ya1512,0.01
ho650,1.08
ma872,100
ma1275,85.86
de407,61.2
ga231,61.92
jo145,100
al805,27.33
ju1562,11.94
iv1714,1.89
op424,8.08
ri958,57.04
ca339,3.21
ju1316,100
me435,68.74
em1494,86.7
id268,73.85
li390,90.26
ab330,93.65
fr1195,30.28
ke1292,100
ma965,29.29
ma563,42.58
do89,83.79
ab1588,0
fl752,43.59
da1613,0.26
st311,61.8
ha1202,100
lo1650,6.21
di530,84.93
te1038,55.3
os13,76.62
le794,3.13
ka1570,7.78
al1079,85.71
de1521,5.41
jo1576,0.17
te824,83.54
ja202,70.62
ea653,100
en919,16
jo1084,50.76
br353,100
jo1469,1.79
la195,42.91
ka1566,2.32
ju17,0.71
ly1410,71.38
be77,46.32
ja918,55.25
ja101,22.31
gr291,49.73
ro1034,64.72
mo1074,100
ly890,91.28
da40,100
el1448,100
tr884,100
vi1409,29.09
co1342,30.91
ma540,26.73
ma1708,0.47
ke111,100
ra725,3.59
je985,14.87
za189,69.89
be785,4.5
ch418,64.08
or328,100
am1543,0.03
ko1356,87.76
je1609,7.46
pa1019,0.04
gu310,100
la166,79.37
jo66,59.85
el337,4.62
ce691,96.45
de930,0.57
je1561,0.2
pe169,31.32
ma325,41.89
ji775,59.24
ca471,55.61
an1259,40.56
di982,1.39
fr527,10.04
ad861,2.47
wi707,22.14
wa1073,7.2
ru395,100
ki305,3.12
ro290,15.64
ca73,1.16
al515,93.43
lo1420,48.11
be1406,86.19
ph462,97.34
lu553,100
ev456,35.52
be1113,0.84
la1595,3.26
le1637,0.19
gu151,37.76
li1258,80.88
na234,100
ru455,4.22
jo485,67.3
st828,14.05
ur661,28.14
mi1590,14.43
ar1711,0.33
el1064,50.43
an156,88.77
an626,20.55
ti1137,100
sh1303,52.73
ja467,8.18
al1194,69.14
jo911,93.49
sh1453,90.1
sh1652,5.03
je104,86.03
ce1312,100
cl1030,31.07
mi1515,1.27
ka1479,1.83
he1414,3.47
mo1001,96.24
dy1520,22.95
do944,89.9
bi643,61.02
co1502,10.91
el371,8.23
mo1387,8.37
kr1472,74.16
co774,0
ja544,80.84
na1298,87.39
hu235,100
je1523,12.1
zu762,75.19
bl1487,7.64
gr971,100
ka1733,8.85
an693,59.09
el1254,84.53
br478,70.7
la1183,24.55
do1626,9.42
wa992,100
he601,11.01
fa1396,30.3
qu245,54.14
dr413,38.15
pe1597,8.15
ga733,71.31
st1421,100
wy54,85.82
zo1241,84.65
ju864,0.26
ph1649,12.75
ma932,6.5
sh759,100
gr513,52.06
ni85,100
ha1142,0.12
la31,3.7
be632,92.85
si838,8.6
al868,19.95
ne703,12.01
ag238,81.54
fa180,72.1
ch1605,0.88
ri1361,100
ce1537,1.33
jo250,61.84
la173,4.57
ga659,67.22
do1599,0.5
le1180,1.17
ju178,4.09
su575,3.09
je1598,10.28
le319,100
ma786,83.56
ha789,71.68
el226,18.47
et187,73.4
ja584,83.61
br314,21.47
sp474,100
br1209,72.78
je673,62.21
do1723,1.05
tr1279,11.62
va10,100
co33,44.56
en475,68.28
lu403,100
le28,87.25
ce1546,11.96
ru1737,25.52
ma1415,100
se1009,92.44
sp155,100
tr232,85.95
ar1427,89.29
lu1354,3.26
ma773,82.12
zo1192,49.67
fe1159,60.07
ei38,70.18
le1284,77.49
or1271,83.45
de819,100
cl348,100
el1481,94.75
fo1029,100
oc836,100
la123,100
ar410,100
ne300,3.3
ce766,69.14
cl760,90.66
li877,25.75
gl1688,0.48
ke1408,4.37
es82,91.88
sh302,43.12
lu1143,100
ra18,5.08
eu1036,100
bl507,7.28
ma242,100
ke209,28.41
ga906,35.3
be770,28.97
sh620,100
ma554,61.81
li655,48.39
ch1677,1.34
el378,71.92
di978,11.52
ad914,91.63
ef1471,11.86
ga133,3.39
em1230,75.45
da607,15.55
es1,100
cl610,6.55
na397,91.1
al393,82.22
do262,15.35
me1622,18.73
ne995,92
lo941,100
ch61,87.14
bi1674,0.04
be396,13.35
do829,81.56
br933,92.72
le120,67.3
da46,87.66
te1070,4.3
so212,7.63
ma480,22.5
ja1165,100
su1344,100
mi459,100
ti1022,86.6
ju631,2.75
ar1185,96.94
ch62,83.52
au279,94.74
bl686,21.31
co1094,3.66
ar1530,1.05
la1720,8.56
mo1076,87.46
ch27,7.79
ne529,100
ma556,70.28
be198,92.14
fe1456,100
li1153,41.77
rh730,70.47
lu23,93.18
ke1102,16.72
gr1256,100
he398,100
hu1270,28.56
to1363,100
lu1035,97.01
te1190,34.77
ro809,98.38
re724,57.86
jo1193,100
we984,56.35
ba1288,54.97
ca1048,37.41
te1401,100
ra1161,5.31
re9,100
co622,44.07
ly134,96.04
mi1693,1.41
fa1443,75.9
ir1393,100
le710,11.48
ge501,50.14
by1455,8.76
em423,77.73
jo1438,49.77
wi1660,0.31
da1160,100
jo964,1.79
cl392,88.25
ka1364,90.55
jo1336,14.09
mi41,95.54
li1663,0.22
mi592,95.98
ro570,96.06
sh1627,4.33
tr888,3.42
li905,100
iv647,100
la1635,3.07
ho1466,67.01
ly1224,1.6
ro153,13.76
cr1156,24.98
ot848,55.16
pe203,29.5
sa1341,87.68
sh1548,12.54
ke380,94.75
bi1227,0.83
ma1047,90.71
ch261,98.47
ma1125,2.19
lu186,74.06
sh1264,29.81
ro1175,13.78
sh230,100
la945,94.42
ka1397,100
mo278,49.03
me602,66.16
ma1144,100
jo889,2.89
la84,7.53
em8,29.96
ro1087,93.34
jo167,95.31
ce900,5.33
je826,44.09
we573,17.82
ru51,95.17
is1442,72.68
bi391,4.01
al1120,0.99
do253,80.22
or1182,26.08
ti823,43.78
ch1369,100
de1391,0.81
gu317,100
da1655,6.32
fe532,20.4
me445,100
ra461,3.9
ed1281,20.7
jo871,66.81
ma1474,1.57
wi1238,82.81
ju284,70.02
ro1003,12.64
pe271,77.96
fi1667,32.6
an488,92.07
be437,38.21
la1528,5.17
an1394,22.51
je734,100
po1134,68.5
wi99,100
me846,7.15
ad1575,14.37
fe1444,5.19
ma60,81.74
jo559,17.35
lo1008,47.18
ge26,70.62
mi185,9.76
iv1215,54.53
ad1710,0.19
ca898,91.14
fr635,2.79
be108,66.11
jo1506,28.45
ty1085,90.4
ri1106,100
sa1158,100
er669,90.37
mo847,26.42
la1556,4.81
co135,100
je1724,1.44
ev176,100
lo394,100
me267,100
le851,77.29
br1103,100
te646,96.19
lo535,0.81
br2,9.41
al1612,1.03
da1365,46.54
al957,100
al473,18.69
my450,11.48
de1465,39.5
ah179,0.52
de787,11.23
ow1043,51.76
lu323,17.07
gi1508,47.98
ha172,88.42
no1489,20.93
ca251,60.96
ma1596,5.73
du1128,9.31
fa1287,0.76
qu605,6.76
fr1155,87.21
oc386,0.62
ty301,4.62
tr743,4.76
am220,15.96
ed1696,7.1
et1201,85.24
ri569,65.64
wi5,52.29
ma114,80.82
wi618,83.15
pa739,100
mi1458,38.24
li859,2.18
