netid,% of videos watched
el621,51.8
ow1043,57.61
el1064,30.41
rh730,92.2
ma554,63.6
qu245,100
gl1688,0.96
ed1055,2.16
fr642,83.16
ly1410,55.63
ez320,60.71
un204,84.75
gi1508,25.45
ge26,100
lo1650,1.93
ar1711,2.84
cl348,100
jo1336,28.65
je412,3.92
ke937,100
ro822,20.31
be1406,97.36
be632,64.71
co1213,100
ka1566,2.38
gu1247,88.17
st1421,100
ma1275,100
jo911,91.42
do440,9.35
ed299,3.36
mi459,84.95
wi1660,3.17
sp155,73.19
ha1441,34.82
ru1737,0.71
ka1294,2.44
ta737,68.83
br105,96.39
sh909,11.62
pa720,37.12
pa127,100
ma872,100
wi1249,39.05
am1543,9.66
ev176,100
em1500,94.25
ed1424,3.5
ma773,72.7
jo145,100
or328,100
le28,86.58
ja1132,81.95
de983,7.85
za189,100
ma241,14.63
ar1530,18.2
ch996,97.2
kr1472,28.67
ru395,68.69
br353,100
br1203,63.4
ma965,37.02
ke52,1.45
co949,92.1
ma1047,89.65
sa1463,7.17
ma325,32.17
la1183,56.85
fa1412,12.6
ju876,88.64
lu1035,94.47
li1663,8.47
cl392,86.55
ar683,94.52
de1317,50.34
et1255,0.13
ar1232,9.82
re740,82.75
le120,56.49
gl154,82.56
ri1106,100
ju284,86.75
al87,60.58
wi1389,95.16
si966,13.97
ma540,23.2
ja521,31.8
as779,100
la195,63.36
na397,85.82
de306,1.11
ju1187,81.25
an1259,69.23
do705,69.34
vi1200,100
wa992,97.82
wa70,22.57
do89,96.1
is1442,87.56
wa1307,100
le851,100
ga231,40.28
ch552,5.38
he745,48.17
er490,3.47
er541,18.89
al1079,76.09
ma1285,91.08
pe203,54.71
da46,87.01
lu23,90.96
st311,51.34
to581,93.19
wi618,92.04
ro131,100
do1451,100
na680,0.35
al957,87.34
ch61,69.37
de942,17.72
br478,89.47
be77,69.18
ma239,82.71
er769,10.06
be198,91.32
do1308,21.53
ka1397,91.53
ge501,85.1
we984,75.97
te646,100
sa175,28.61
ea1004,11.4
lu1273,6.48
or1271,77.57
hu1270,75.77
je104,71.04
ma563,56.5
pa1403,8.21
gr971,47.93
mi1718,11.52
ko1267,100
ru51,82.88
wi1238,80.79
ma242,100
me834,6.9
he78,26.12
da40,67.6
co135,100
cl760,91.94
ja502,1.1
ti823,54.37
em1494,81.23
he398,100
ro1175,11.17
wh14,100
fr989,83
jo136,13.26
ca471,56.07
no1489,46.21
fo1029,73.89
li905,100
re1378,61.59
ma1092,66.41
el1481,100
re1217,39.18
ja202,80.14
za303,100
ar1185,92.94
hi1234,100
fi1667,6.17
sh1453,74.36
ca1112,76.17
ph462,92.87
bi1674,29
al1021,2.09
ay1300,3.37
ch338,1.58
ma1415,85.68
la1595,8.38
de1376,16.47
da880,0.69
li877,39.76
ba1288,32.26
al1355,53.41
ag238,79.75
lu157,18.16
er669,83.95
le319,100
ja1165,89.25
ch418,86.66
tr907,93.09
jo250,53.27
je1561,0.86
ti1022,90.12
me1622,0.06
et187,68.37
ko1356,91.07
te1038,45.45
ke209,43.02
tr1694,18.86
sa1505,72.68
oc836,100
de407,41.58
go150,0.3
el1124,100
sa1341,86.69
ja918,38.38
ca898,76.87
sp777,9.49
sh302,59.19
si838,4.75
an603,86.99
ch531,11.61
el1254,96.69
la976,56.16
ma1178,100
hu235,100
jo117,4.12
wi99,100
eu1036,93.95
lu553,100
do253,77.04
gr1256,100
la945,67.91
ge566,20
je1598,9.29
ch62,100
ma1596,1.54
pr796,100
je1724,0.73
jo832,1.37
lo941,100
zo431,100
ti1137,75.85
me445,100
ca1454,100
vi495,100
fo1405,30.85
ca671,100
da1365,26.56
ta940,91.15
ja1025,77.81
ca438,32.25
me90,73.14
va10,76.47
zo758,4.61
fr1278,1.21
ar410,89.1
tr232,77.22
fi1037,79.01
wi1007,23.89
ka1364,84.58
he1584,0.8
la65,100
co622,51.98
ka183,16.51
we1646,4.36
ad1575,11.99
je925,2.56
te824,63.79
do1723,26.04
ch55,68.96
iv1215,28.71
ge893,91.04
ca1236,21.36
ca1188,18.28
ro1563,0.36
fa180,72.19
le1148,12.84
ne995,83.42
br1103,100
ro1034,75.05
ch1677,1.4
ca1122,71.77
ad1710,5.47
an488,56.94
le710,1.12
ly479,6.64
ja1058,100
le856,12.35
me267,100
ri958,57.4
vi44,4.17
sa463,95.34
ra715,4.26
mo847,66.3
mi1458,71.79
ja584,83.02
ni1517,0
jo1084,27.63
he852,100
co1342,38.97
ga659,72.33
ur661,33.68
au790,2.28
be108,69.57
le1284,91.79
ev456,76.06
pe271,81.06
ma114,66
zo1192,60.4
le1637,1.75
el1648,4.33
pe1597,0
gu151,44.07
ce1546,21.04
ol613,1.46
ba633,0.66
la449,79.9
ro614,0.36
gu317,100
ka1733,0.13
io34,5.06
ti86,86.4
ho1466,26.02
mi1515,0.51
gu310,100
pe1131,19.34
em423,46.3
de930,3.84
fa1396,36.86
ro570,98.56
ei38,100
et1201,96.91
os263,7.04
lu726,100
fl752,81.83
sh620,100
ce1679,2.05
da1655,36.93
an687,86.55
ma1374,15.02
la1635,0.01
no233,10.29
jo1639,2.29
ar904,100
pa1348,81.04
en475,91.31
lo394,100
jo1506,53.53
wi707,55.68
ke1135,2.71
la1349,1.63
fr1195,30.93
au279,81.84
ni130,31.02
ri1606,2.28
es1,100
ji1464,68.05
lu323,0.46
jo66,76.6
re953,85.08
ma417,92.09
ju64,96.36
th721,8.64
po1134,89.67
tr884,100
el1448,100
le879,14.48
ch1369,100
ra1429,46.25
va663,11.47
be1483,21.25
el1334,15.9
ca833,43.77
ko1585,6.03
he256,0.3
ce766,86.89
cr275,18.46
lu1143,86.73
an1394,49.58
ma1144,100
ya1512,12.03
ch568,60.47
yo1289,41.72
ro818,13.74
ar533,28.92
ra18,2
na1298,69.41
iz1621,0
li1153,63.53
co1475,23.83
mi295,2.77
la1720,0.01
je587,2.63
ga906,64.04
ty1085,64.51
ni1418,44.37
er296,100
di530,72.27
mi592,100
be437,46.58
el604,83.67
is37,14.33
cl115,3.13
da439,84.87
fa534,2.15
sa1158,100
ji775,42.52
da1613,7.58
co1624,2.15
de819,100
ne529,100
mo1001,86.94
wi5,95.17
ti748,96.64
al1612,2.01
ch950,5.26
ma103,1.34
ma60,64.27
al393,96.17
il792,2.86
fe1159,32.72
ha1202,100
fr1117,11.54
al805,23.58
ti6,88.98
de1465,56.62
jo222,74.3
ki442,9.37
jo871,80.78
mi1399,0.34
cl1030,61.52
cl1425,1.89
ph1649,12.68
pe169,27.94
re724,24.33
ro1003,8.66
ma146,12.31
ab1588,13.54
ma164,15.59
ro1087,100
ju1316,100
an1541,4.15
ra1212,3.26
ai637,1.93
kr1477,3.19
ra725,25.99
an354,41.9
do1146,85.02
ma585,83.43
fe240,100
zo1241,86.36
ma1686,1.6
or1182,44.38
te1190,65.29
vi899,17.07
