netid,% of videos watched
lo394,100
ra725,38.61
la1253,4.29
dy1520,1.83
si838,18.71
ti823,27.02
de407,34.27
pa1348,100
el1124,100
ti748,93.91
da439,74.67
wy54,94.18
is1504,29.59
fa1287,17.04
mo847,72.29
ha789,100
mi1693,0.36
ma788,0.52
po1134,93.55
an354,37.15
pe271,81.2
ja101,32.42
jo66,94.77
da1613,1.25
au279,91.36
ge566,55.77
le1284,90.58
le1171,96.39
ja1132,100
do1626,0.78
ne529,100
be741,6.49
no1489,26.67
wa70,18.39
ma325,46.18
zu762,98.79
ir1393,100
we984,97.02
ch62,100
wi618,94.89
fa1443,88.7
ar1252,3.2
vi761,22.41
je1598,0.09
ag238,70.38
ro1087,100
be1406,61.75
ar837,2.07
mi592,80.19
gr1256,78.4
gr291,41.4
lu157,0.82
ju284,68.92
ke937,100
gu317,90.14
ja918,44.53
ru51,82.8
ro1150,31.41
et187,66.22
la1595,0.8
da1365,40.97
lu23,75.07
sa782,85.59
qu245,100
do1723,0.05
an687,100
sh230,100
ma1275,100
sa695,24.44
tr232,89.09
jo405,0.61
el1481,62.92
te1401,100
ca1311,86.55
ad1191,76.67
ea970,25.3
la1169,16.46
ka1733,5.29
el1254,88.58
ry1305,0.02
an1259,38.22
fe532,5.98
do1308,77.14
he1584,4.64
oc836,100
ve997,21.57
el1064,83.42
jo313,3.72
fl752,87.84
an1541,0.97
ma1596,2.04
tr1081,90.03
ad1575,3.99
th335,8.06
ar1711,2.69
em423,76.13
te1190,53.02
wh14,91.07
lu553,100
de1317,49.15
ar904,100
mo278,18.41
ow1461,10.1
je104,69.74
li877,56.13
li1663,6.87
lo1650,20.26
sa463,81.09
ch55,100
ca251,40.23
is1442,98.2
br478,76.78
ly125,29.9
cl69,81.73
jo485,66.93
ru395,100
na1519,24.3
ri1106,100
sa1341,65.55
za303,100
sh909,0.25
fe1159,49.27
re740,70.99
cl392,100
sp777,32.68
za189,86.54
wi1101,8.76
pe1131,4.18
ta940,91.21
ro1149,0.39
su1239,13.87
la945,88.46
be108,90.08
iv647,81.73
ko1585,2.7
an387,12.23
ni85,90.52
es447,7.47
ab273,32.4
sh304,8.86
pe1597,4.96
sp474,100
ol1040,11.43
ni130,31.71
jo1639,10.12
ma634,10.21
ly134,87.1
so961,41.12
ch61,92.12
ar410,100
er1031,16.73
li859,30.67
fr1195,50.48
gr971,100
fr989,72.69
lo106,2.65
an1390,100
te646,100
le555,4.3
jo1506,71.6
co1624,4.14
bo849,94.2
ja1684,0.88
ca73,6.14
sh1548,0.2
li390,86.95
ke111,100
ro697,84.24
sa1158,100
be77,34.59
ga1056,0.23
br314,20.93
ed1055,2.68
do1599,0.4
ly1410,92.71
me445,100
do1337,0.03
ba1288,26.68
na436,2.1
la195,80.03
is193,1.6
ri958,42.93
da1655,3.47
as779,100
jo222,92.15
ve1498,2.61
ti1022,96.19
al207,13.1
fa1396,55.46
lo1420,70.88
ro1034,89.47
ch1605,2.33
jo117,5.25
se1009,74.83
ma872,100
al228,6.92
fi1037,95.43
al1079,90.71
em1500,100
ca420,2.94
ly890,98.3
do1114,100
le120,79.27
ja924,100
ph462,100
pe866,2.77
ta737,100
je1609,8
ad1710,1.07
ju1316,53.8
re953,100
do1083,12.9
sh1303,40.94
an156,90.32
mo628,9.86
wi1296,8
me602,48.66
ka1397,100
mi1590,2.38
el378,96.99
be632,89.29
de1376,4.22
ez320,26.88
cu116,16.65
iz1621,0.25
an1216,36.28
ma1092,95.05
li979,7.32
ka667,5.17
co774,17.48
da1160,100
ma1686,0.07
mi1320,4.91
bi599,29.7
ra638,50.9
te824,92.06
ti86,100
wi21,19.58
an488,91.4
vi1200,100
de1659,1.05
do440,0.14
ka1566,6.72
ri569,88.22
co1342,47.25
lu403,70.25
me834,23.26
al1204,100
bi643,44.64
he630,22.01
el839,11.32
tr1694,6.95
bi1382,4.36
he745,67.81
ch1369,96.5
gi963,100
fe240,100
de930,5.41
xi675,42.62
ab1282,2.95
ke1292,100
su1046,63.76
na1298,66.8
do253,87.84
cl1030,49.13
ch568,74.93
br1514,1.61
ed1281,52.59
cy672,7.22
ke1408,24.49
de939,45.89
ab1588,0.82
ch80,1.32
fa180,93.15
hu57,13.99
ch418,79.19
de819,100
op801,1.96
sh620,100
al805,41.73
ce1679,8.77
ma480,0.44
br353,100
lo941,100
ki305,6.4
ma960,100
re1217,43.09
wi1389,98.41
fo1029,100
co949,97.42
wi707,46.98
el247,90.35
fr1278,0.57
co135,100
at1173,2.4
or1271,88.29
vi143,100
gu1247,70.24
el1448,100
ju876,83.08
es82,94.05
lu186,100
ha172,59.99
en475,92.98
to581,46.65
ce1312,100
ir1459,15.97
wa992,100
ma540,33.65
ja1602,4.26
br1209,100
ka1263,8.71
ed1017,89.67
ma1285,84.45
mi1515,7.39
ar873,4.43
ge893,86.88
ca1048,58.22
tr884,100
al957,100
gr513,80.24
al1052,0.33
ni1517,17.36
wi1249,49.69
ca1454,100
fr642,70.07
na234,100
ga733,92.27
al515,94.78
ma1205,1
sh1555,3.52
co1213,100
la65,100
we573,46.28
al1612,0.08
bi1674,0.3
ev176,100
ja502,22.26
ju64,80.89
et1255,2.26
er1107,9.38
cl348,100
mi329,10.64
sa175,22.01
ja1618,0
ca1122,80.8
ky505,30.51
ma114,71.95
ha1315,10.8
al868,21.03
ja713,3.44
do68,1.75
ma1047,89.21
ce1546,0.16
ki991,8.56
gi1088,15.77
ed1696,5.37
na680,1.48
co1475,72.33
sh759,100
ra458,13.64
ni1418,39.64
ca1112,59.32
pe203,35.11
em8,11.68
ro967,2.66
er669,96.09
li655,73.98
ca898,85.07
me267,100
