netid,% of videos watched
wi1389,75.91
is37,9.09
ke1490,13.64
ar1711,19.45
ch568,84.08
ta737,100
de1659,8.39
we565,1.66
wa1269,4.97
gi266,4.43
or1437,5.09
ne529,100
sh1627,0.44
ji1464,86.94
ma1596,0.13
me1622,0.05
gu310,74.66
ja1025,66.65
re1217,56.97
ma1047,98.39
ti6,98.77
gr291,55.44
ka441,1.9
ro1034,75.82
da1118,13.17
ca251,14.26
ed1017,91.95
be77,15.41
te1038,28.36
de819,100
li655,87.82
ez320,66.05
li979,48.82
fe1159,67.01
to1363,76.14
ca898,78.76
ju1187,94.51
be108,74.46
mi1515,1.08
de1465,40.34
ri1606,3.27
ro967,7.65
lo1420,72.23
iy1309,4.48
es1,100
le851,85.77
al87,100
gl154,91.97
ch418,91.64
ja101,13.84
na1298,63.14
ma554,50.14
ja1684,0.02
lo941,100
ed1281,61.01
co1213,100
mi409,0.92
sa1158,100
la1720,11.82
ja1602,2.06
je104,90.49
el247,91.64
lu23,89.1
gu1247,57.42
pa962,2.28
do1723,0.04
lo205,22.24
jo1506,47.1
lo535,3.73
ju685,33.49
ra1429,72.25
do1146,81.39
ta1066,1.2
ra1430,100
ja1618,0.96
ch61,76.16
el621,19.97
ka1733,1.76
no1489,27.58
ch1369,100
pe169,28.78
da1613,0.29
mi592,100
wi1249,50.19
lu186,100
ta476,31.18
ri958,60.22
da40,100
br353,100
ma1144,100
vi1200,100
la195,97.62
no233,11.58
yo1289,67.03
zo431,78.48
wi1660,3.26
co33,46.58
ma1392,89.89
gl1688,0.74
le1284,94.69
fa180,80.07
qu504,100
ne161,5.32
co1624,1.71
tr1694,0.24
th803,2.95
sh759,100
ma417,95.66
wa1307,92.69
ka1570,7.28
jo911,65.22
je1609,1.65
ja1132,100
ja516,1.92
be785,1.63
fo1405,37.05
ro399,12.06
ke209,32.19
fr1195,45.73
os13,83.31
ke937,100
bi599,7.72
ca438,16.56
ca163,6.85
le747,2.3
ma1708,24.05
ev456,37.4
li390,87.94
ma773,78.37
br314,8.82
