netid,% of videos watched
zo1241,59.68
en475,93.08
br478,84.96
bi1674,25.67
op498,66.56
ra1587,0.35
sp474,100
cl1425,5.56
st828,5.02
pe169,52.7
st311,25.15
ar683,100
an693,52.78
le1284,79.31
ma239,95.5
ro570,89.8
ca438,50.83
se1009,84.97
sh109,5.65
ro697,87.74
be1406,81.89
tr884,100
mo278,53.58
he746,6.63
ch950,17.05
ja521,10.33
he745,30.67
da1365,28.85
fr1155,89.06
ja584,91.88
zo1417,35.36
so961,11.99
gr1256,82.13
da129,3.72
ko1647,22.34
ma965,77.39
ca898,84.62
sh302,45.83
po1134,85.03
do1308,61.58
le319,100
ce900,10
ha520,13.85
ar1427,76.56
ro1433,3.42
ge26,100
el1448,89.14
te824,69.52
ca1122,87.61
co33,34.52
al868,29.06
cl392,100
ke937,100
ja924,100
tr887,0.01
co949,81.94
is37,20.09
lu1143,100
jo1576,12.7
ce1546,15.66
ch568,82.91
na1519,5.77
wa201,21.27
wh14,100
fa180,83.45
ev456,65.1
al217,3.83
gr291,31.62
ma1415,100
te1005,14.16
pa1176,10.17
lo1420,79.58
na234,100
as779,83.01
ma1596,1
an1259,18.26
ur661,20.18
ei38,100
ke1292,100
no1489,42.58
ge566,50.29
gl154,91.71
ly134,91.51
fa1443,80.26
an687,100
co1475,37.3
br933,77.83
ma585,97.05
ca1048,48.47
ti6,86.71
ta737,80.41
jo1084,38.85
ch996,90.29
ti823,57.74
ro1493,0.06
mo1076,69.07
je723,5.74
et1201,94.65
sa782,93.88
ce1679,2.08
ma325,50.26
ju1164,24.26
dy1520,17.39
el604,100
ja1165,100
to1363,100
wa1307,100
te1190,42.55
hi854,14.86
de939,74
ni1257,84.75
me445,100
er296,100
do1451,100
da1160,100
ca73,7.25
be108,65.4
ow1043,10.85
ed1017,74.81
do253,63.8
ri569,34.47
da46,80.63
fe240,100
vi143,100
di530,87.51
el621,15.95
sp155,100
cl69,89.32
te1401,100
fi561,41.7
re724,36.81
fo1029,100
ro1003,11.17
me1622,0.31
co135,100
ma1026,8.41
al473,31.01
do829,89.72
be1491,11.5
pe549,6.02
cy672,10.84
to581,92.71
ru443,0.69
pe1597,0.23
em1230,85.53
ri1361,100
ju1187,75.24
ja1058,85.56
ea653,100
wi707,57.41
ma935,81.91
ke1130,33.98
ha789,100
wa200,0.6
zo1192,37.73
ti86,100
ti1022,93.78
jo911,94.17
ar533,0.93
ev176,100
gr971,100
sh1555,1.82
br1381,1.23
mi1458,14.01
sh759,100
ev1670,1.41
ta476,12.63
pe572,17.8
gu317,100
th721,2.98
ch61,84.16
or1271,64.67
ra1429,32.41
zu762,100
wi5,87.7
ga231,48.83
gu151,37.47
br1209,100
we1646,39.69
hu1270,45.85
pa342,15.96
fr1195,24.27
ma932,5.51
mo956,1.1
ro831,29.97
ed1055,3.7
el1254,90.58
ni1449,2.2
an1394,52.7
ga536,97.86
iv1215,56.2
es1,100
iz1621,12.1
eu1036,100
ji249,14.04
ch55,77.25
ca833,58.8
sh959,8.13
br1203,38.03
vi495,100
li877,60.77
di1428,18.18
mo628,0.4
da110,18.29
ma343,34.94
ti748,67.84
mi459,100
wi618,90.95
br353,86.5
ad1710,9.27
pe203,29.51
ch418,82.65
st1421,100
re1378,46.54
sp777,29.18
da1613,22.92
li1153,36.04
bu19,3.04
ma563,54.26
bi643,61.11
al219,1.75
ch1605,0.18
li979,41.35
le1171,67
ca420,1.37
wi1238,78.96
na915,100
ju107,8.54
li1258,88.46
cl760,85.02
so212,20.88
do944,92.1
ju178,3.34
gr513,85.73
sa1158,100
ca1311,70.56
la1183,48.67
