netid,% of videos watched
ro1563,2.37
te1038,24.85
sh557,5.59
ga906,32.77
do1146,84.36
ro131,91.35
no1489,31.42
sh1303,74.79
ah179,3.75
ni1418,28.94
du1199,26.42
bo359,6.91
ja101,29.33
ar1185,84.58
fr989,92.4
jo871,92.61
pe169,56.44
ly1410,80.91
ru1737,8.49
su1344,100
ra1161,2.71
we732,0.32
an1390,100
ka477,4.36
ar1530,4
do829,87.97
ru395,100
fa1396,24.12
ke1310,7.5
an1259,27.32
vi891,19.51
wi636,8.17
of1250,2.74
ch418,74.73
et1054,2.67
ra638,78.23
ma60,71.75
al1355,32.57
ro809,81.81
ma1708,3.94
da1160,86.65
ty1085,72.46
cl348,100
re1378,62.95
ca1311,84.04
gl1688,10.32
an1394,52.3
br1209,100
le1060,3.22
ri1606,14.49
su377,3.12
es562,5.55
sh1627,0.74
gr506,4.43
wi5,87.3
ko1585,0.08
em8,1.72
ja502,10.44
gl154,81.69
fr1155,84.2
tr884,90.6
co774,24.09
ma1186,0.29
me1531,4.95
la166,72.81
co1213,100
jo1336,64.79
je1724,0.44
ia1014,2.71
ph1649,16.56
sa1505,72.03
ma932,2.71
ra213,2.28
li390,80.43
ma926,9.5
cr275,5.5
bo849,83.33
wa1307,60.85
ma1686,0.94
ir1393,100
te646,82.89
te793,10.87
vi1409,5.05
ed1281,37.81
ge566,24.68
al1194,70.98
ra1673,0.14
my1375,30.58
ab1282,13.65
ke937,100
li1258,87.34
ti823,33.03
el1481,100
ma1415,71.27
ja1684,0.06
bi1674,17.29
jo1438,36.27
ar1427,93.18
cl760,85.99
da46,95.81
ro457,1.48
ma540,65.74
ju1099,13.31
br1203,63.62
de939,31.64
ka727,5.68
el621,14.88
ka1733,5.49
ri569,82.88
la945,85.76
ma773,95.63
je1609,0.75
pa720,44.02
ti1137,100
te824,66.81
sh109,3.87
eu258,28.63
al219,6.61
br314,58.79
ra1212,6.3
li1663,11.15
ru455,12.26
ka1479,8.5
ca1112,89.73
mo278,19.79
co1624,4.6
ma1178,100
mi1718,0.03
br1103,100
he1219,17.14
mi1693,2.12
re724,55.76
br933,93.5
ea653,100
ro967,1.63
de1465,36.98
dr36,1.07
co622,34.44
ji1464,93.08
lu553,100
fa180,81.95
gr291,57.41
na234,63.3
jo485,82.47
lu1143,100
ca892,12.87
he398,78.91
al1612,3.36
mo1074,100
ba633,7.96
ne867,8.82
pe835,8.61
do1114,69.79
co1261,1.13
lu403,100
ly479,2.87
ch312,0.61
ar683,100
es558,20.61
do1308,50.47
ju284,94.29
ka1566,5.35
el1064,45.71
sa1341,65.64
yo1289,28.97
te1401,86.56
ke1138,0.77
ju1015,20.5
sh1548,6.01
do89,100
wi1249,41.78
ma1026,5.72
jo405,3.07
ed1017,69.55
ow1043,43.85
la195,77.56
be1406,75.76
by1379,1.67
be770,7.06
do1626,0.01
an693,25.66
ka1370,3.68
ra1429,55.9
st1421,79
de83,1.68
wi1660,0.53
el1124,100
fr56,0.72
pr796,77.82
ca1122,79.5
br1514,7.55
ja544,78.37
ja202,71.68
bi922,1.06
ma75,100
wh14,100
ad914,82.42
ni130,45.19
ro697,91.81
ka211,5.53
le319,66.46
ly134,87.76
ke380,87.42
mo1001,88.31
pa739,86.38
ju1562,1.87
je734,100
co322,1.2
an1216,1.53
al868,52.03
ca606,14.23
re9,100
jo1639,9.04
bi391,2.95
ja467,5.85
ol1040,3.62
te1190,47.25
ha172,92.39
da1655,0
fi1667,5.29
na397,84.72
ab330,70.84
ne875,2.12
ja931,6.1
au656,8.26
ar533,20.1
ce691,56.6
ru443,3.38
be437,58
hu235,94.56
de1659,0.25
la449,95.94
es830,14.47
zu762,100
el1648,6.66
ma554,38.8
ab1588,5.69
co33,45.43
qu504,96.62
ro285,11.27
su1046,92.97
wa992,82.17
ce1312,100
al1079,71.63
ka385,13.31
gr513,92.52
co1342,50.68
ca1157,10.05
ow1461,2.35
ro399,1.52
jo98,3.37
ke111,100
fr1195,17.7
ya1512,2.35
vi495,91.58
ja918,43.53
em423,73.2
ke954,10.04
ra1430,100
je668,12.72
ko1647,4.54
la123,100
le1148,1.49
tr887,2.41
ez320,58.54
ma556,100
ma374,8.84
la1556,28.08
ra910,24.29
ot848,80.82
sa463,72.14
ma114,83.9
ma563,36.78
qu245,94.93
mo96,4.6
be632,77.52
ke1292,100
so961,65.03
me267,92.03
ho1466,52.88
am1543,0.41
re943,78.04
ja1165,100
br353,100
ge501,40.43
eu1036,73.52
fa920,8.21
ha520,5.11
na915,100
ay1300,0.85
ju1187,89.75
je826,65.56
is1442,87.23
ev176,100
em416,20.65
iv1033,3.58
gr903,16.85
ni1257,85.7
fa1443,94.08
ph462,86.48
jo1576,0.78
he1584,7.2
ad1575,0.31
el604,100
wy54,98.08
do688,12.08
ge648,9.87
la1528,21.22
rh730,92.8
za303,57.08
el247,92.35
le28,73.4
as779,88.29
mo1076,71.46
ma935,77.66
pe271,88.33
la1595,14.68
ch62,100
ad1191,100
jo145,100
iv1215,57.72
wi1389,94.83
ju1316,87.47
la65,100
fe240,100
ma1092,93.79
pr1109,15.75
ja924,90.77
ko1554,18.56
do1451,97.89
ni1517,0.28
jo1084,41.3
co1422,7.57
al805,30.85
ar904,100
be22,1.18
hu1270,40.06
br478,60.76
do253,67.16
jo1193,100
ab273,44.71
lo282,9.46
ke1130,81.83
et1201,81.84
an1541,7.38
sa1158,100
la1635,0.47
an488,96.5
ja1132,86.95
ko1267,88.98
ge893,69.54
tr907,96.99
jo167,83.09
cu116,61.16
em1500,84.79
le851,100
ez1470,12.38
et187,75.97
qu605,11.39
je1598,0.27
me1622,9.2
ti86,94.5
jo222,83.6
os13,94.45
ch996,84.15
ba1288,32.17
el378,95.6
pe1597,9.01
bl686,46.03
mi185,2.31
ga733,82.06
ca671,82.29
zo1192,67.02
ma1285,67.83
ti1022,87.57
br874,5.72
mi592,100
xi675,56.89
he745,27.62
ch1605,23.43
ta737,80.6
ka379,10.26
ne119,1.13
be1113,38.14
ni372,67.81
ja1058,100
ly246,7.43
al393,92.56
di1428,54.11
co1475,17
ti6,59.62
op498,86.43
za1220,15.03
ad1710,0.03
ja1618,10.45
je104,89.43
ri1361,100
ca1454,96.04
wi99,81.24
ne529,100
ri958,85.8
gr971,96.01
ma960,100
pe203,66.17
ch55,100
ca1048,47.05
be77,51.48
cl69,65.33
do705,64.11
de1317,36.54
tr1081,86.69
ne995,90.89
gi963,100
al515,65.72
ot577,13.11
fl752,62.78
be59,15.88
co1104,75.51
mo74,1.12
wi618,88.01
ma1377,0.62
re1217,56.49
le120,61.45
ch568,70.16
ei38,100
li979,35.93
ev1670,0.5
or328,100
jo1506,31.52
co135,82.42
je1523,1.28
ma1275,100
li905,100
me445,91.45
fi561,1.09
ed1696,3.34
vi1200,100
re740,90.97
po913,3.03
la1349,6.81
je1561,3.45
ni85,100
ur661,87.95
lu186,68.38
ma318,0.07
wi190,19.76
tr232,96.43
ma1226,1.35
ma786,92.91
ev376,1.32
mo628,3.63
sa175,65.02
jo66,89.85
iv647,100
ka1364,91.25
ty301,1.87
ez810,3.09
ca471,30.18
ti748,79.06
iy1309,1.76
fr635,10.59
ri421,0.92
ma239,89.23
ma417,87.41
mo847,30.76
ch1266,0.62
zo1417,0.53
zo431,70.07
ly890,83.97
sh620,100
je673,63.25
ga231,46.24
sp474,81.82
jo911,60.42
an603,83.13
ir112,1
sh1652,3.67
gu151,48.26
tr772,5.36
da40,100
ma872,100
vi143,100
an387,0.13
ri1106,81.48
za189,100
me324,9.16
be785,2.3
gu310,100
or1182,45.25
ma1392,85.09
de718,1.14
al649,78.25
ra1587,3.11
pa127,100
sa782,79.43
we573,56.87
bi643,53.6
ja1602,0.22
st311,24.99
ju876,58.1
el1254,89.65
ka1570,5.62
le1284,70.58
ma444,1.09
oc836,100
ga659,77.53
es1,100
ce766,77.14
ed717,16.66
er844,36.67
lo1650,5.77
dr413,63.72
mi1458,34.11
ro570,94.53
ma1596,3.53
em1494,86.75
ma1047,55.76
br1172,25.66
ra725,34.85
do944,66.76
ve308,7.43
sh1453,89.09
ar410,82.31
zo758,4.51
hi1234,100
te142,3.41
ch27,0.06
lu1354,26
fr642,71.74
ca714,100
sh230,80.65
ro1499,3.71
al1204,100
sp777,1.57
se1009,95.67
le1637,3.06
la1183,31
zo451,4.11
de407,60.35
gu317,100
er296,85.44
ba1283,3.58
wi707,46.85
na1519,10.7
po1134,82.88
le676,7.91
ma242,100
do1723,4.03
ch1677,14.02
de819,85.57
lu726,100
ra973,15.35
ev456,44.31
vi44,0.01
pa580,13.3
cl392,88.83
or1271,91.52
ke209,29.94
va663,9.28
mo929,12.73
gu1247,85.15
el616,15.98
jo113,7.65
ca898,92.34
ca833,12.84
de1521,3.58
iv1714,4.75
to581,98.93
ju64,91.6
jo313,9.35
sh759,100
lu1035,80.54
ar1711,8.09
da439,98.44
al87,100
ha1441,60.24
he1332,5.94
ch261,100
sh1555,3.63
jo250,54.28
br105,68.79
le255,2.77
re953,100
da1118,9.77
co949,60.07
he852,100
ll517,7.12
ul664,2.93
gi1508,31.18
ta940,89.06
fe1456,100
me90,89.85
al216,35.8
pa1348,69.14
na1298,50.84
ji775,20.52
fo1029,100
sp155,93.92
da1365,63.69
to1363,100
lo1008,28.77
te579,4.98
da1613,11.34
bo465,43.96
ma965,8.7
ma585,100
an1510,0.23
go150,2.45
iz1621,1.5
kr1472,40.08
li877,36.39
do1599,0.44
lo394,100
di530,80.57
ga536,86.94
dy1520,11.69
au279,77.11
ra698,68.63
lu756,4.37
va1154,11.46
wi159,17.44
my369,5.07
mi1515,12.11
li1153,19.61
an156,60.48
fe1159,52.8
id268,70.48
en475,74.74
le1171,82.5
ha789,94.33
me435,96.82
ko1356,95.9
ro1034,71.22
em1230,72.94
mi1590,2.68
pa428,5.8
ce1546,9.23
mi459,100
ma1144,48.33
bu625,8.49
es82,94.92
el1448,100
ad840,2.3
tr1694,0.02
lo1420,59.72
be108,51.07
ka1397,100
be198,83.96
sh302,42.88
ja1025,97.27
ro1087,92.23
ma518,2.73
ca251,33.65
ma1082,3.86
va10,93.45
ch1369,100
li655,92.16
un204,79.36
pa1019,30.9
ru51,68.53
gr1256,100
cl1030,11.76
ne703,14.52
al957,86.72
mi41,85.55
we1646,2.73
ma325,50.35
fo1405,52.85
el337,19.84
ca438,74.2
zo1241,92.95
la1720,12.71
me602,40.51
ja584,75.62
ha1202,91.62
br464,19.72
ag238,82.72
la976,61.1
ce1537,1.76
ge26,100
da432,5.53
ye1323,2.37
an687,91.59
wi1238,89.02
an354,52.58
lu23,55.82
lo941,100
er669,86.09
fi1037,74.11
ce1679,1.86
we984,72.1
ch61,62.91
