netid,% of videos watched
lo1420,77.75
th224,7.56
el30,0.92
mi1450,18.7
ca1188,4.67
br933,65.95
de1465,13.27
be198,82.15
sh1652,27.34
we984,93.4
st1421,84.46
me324,1.18
ka211,20.43
do829,77.41
la1720,1.13
do253,92.11
ly1410,90.95
ar1427,72.84
me267,83.08
so961,15.9
do1723,1.16
co1213,100
cu116,42.07
ra1587,2.4
le710,4.14
ar1530,4.94
ez320,53.26
la1595,8.54
mi1718,6.05
an1390,100
ma540,15.76
ma1047,92.36
cl348,100
do1114,100
te1190,34.2
ja1684,5.02
ni1517,0.04
ab1588,2.33
br1209,100
do705,45.17
lo706,13.96
ma1346,14.42
ka1397,91.88
el1448,88.8
ti1137,100
wa1307,100
ka1566,4.2
ed1055,6.95
pe1597,6.19
te1198,14.38
bu1367,9.68
ce1679,1.8
li286,7.96
ca1454,100
vi1409,65.48
lo1650,3.38
ra1429,50.16
wi327,2.57
ev456,12.38
mo1076,88.46
ja1480,0.33
an354,2.76
ta737,100
ha1142,10.55
ru51,93.08
hi1234,100
sh759,100
ra698,92.06
do1308,73.47
si838,4.1
jo871,86.88
ev376,2.72
la166,100
jo250,78.96
br314,30.71
re1378,39.76
al957,92.04
da439,81.91
sh230,94.66
ra1430,100
ch261,100
ke600,1.32
ir1393,93.11
as779,100
je1598,12.18
ma960,100
pa739,100
gu317,87.08
ad1710,16.22
ar1711,3.44
ca251,69.9
eu1036,61.96
wi1389,84.51
ju284,86.59
li1258,69.31
cl392,100
am1543,21.27
ju64,96.51
la1556,0
wi1660,8.81
ke728,0.63
ma563,32.35
do1146,49.09
ha293,2.1
iv1714,9.54
ke111,100
da1365,26.48
gu151,71.35
je104,94.41
mo847,21.6
jo313,18.3
qu504,98.11
re740,90.73
el1064,17.84
fa180,85.1
el378,86.1
ve528,3.49
bl686,51.55
ch418,88.9
ed1080,7.67
wi21,0.89
ma114,71.25
ma1295,9.28
le1284,77.76
ca714,100
br478,96.73
ro570,97.47
gi1508,53.49
fe1159,66.3
ca1011,0.73
gu310,100
se1009,81.46
li859,4.75
fe332,13.3
ar683,100
fa1396,47.2
pi1032,7.69
ro1563,1.19
co1475,34.79
ya1512,1.02
do1451,100
ka1364,89.3
ga231,4.59
de820,1.19
lo816,6.13
ch404,10.21
bl95,25.25
me331,16.14
cl1304,2.04
ca1112,77.33
ag238,91.22
al1246,6.36
bo465,31.56
os13,68.94
ru1211,6.97
la945,51.69
bi643,18.49
ce1312,87.56
mi592,67.77
tr884,77.83
be1113,7.66
la1183,59.37
gr1256,100
ly1224,1.41
ra638,95.62
sp155,100
lu1035,81.66
ki139,20.67
al805,44.9
fr989,89.91
be1491,3.73
li1153,49.69
ju876,79.56
fr1278,22.15
ph462,100
je1724,0.06
ju1562,1.22
ev1670,14.51
sa1341,83.33
lu403,100
de939,26.32
pe203,50.4
st755,20.24
el1648,0.6
ab273,47.51
la195,79.45
gr513,87.08
ro131,100
jo1084,44.12
ju864,12.75
er1121,15.76
cl368,2.35
ma1686,15.59
pe169,30.34
ba1288,27.75
ur661,44.44
ca1048,10.79
ca671,94.53
ma1144,100
ir112,11.27
pe651,0.5
cl69,55.93
en919,27.99
ma1708,0.62
sh1555,0.99
tr1694,1.63
zu762,100
jo1506,52.21
do1599,0.15
ty301,6.12
es1272,12.95
jo136,2.15
es82,73.65
er669,87.29
ru586,4.47
am220,13.4
ma1186,28.75
fi1037,83.21
mo278,18.62
ne529,100
ca892,4.8
br353,100
rh730,66.37
va10,100
je987,2.3
ri958,71.96
or328,100
de1659,0.66
li655,86.64
pa720,51.36
em1230,87.2
