netid,% of videos watched
ad1710,3.32
re100,5.65
ka1397,100
ma1178,100
mo1074,100
ju1316,100
sa175,72.36
em1500,81.39
fr989,80.52
he398,51.79
cl760,91.42
do440,0.62
ga659,65.04
ga231,39.59
br314,21.67
ca251,33.27
ca1011,12.9
da1613,0.96
mo96,18.24
we573,55.08
li979,34.28
re9,100
al1079,83.81
jo1469,4.63
ti823,31.37
na402,2.29
en475,91.32
ni372,32.6
ic292,0.06
et187,84.62
la449,79.78
li519,19.86
lu553,100
ab273,56.08
je1609,4.81
ti1022,76.68
jo1193,100
em1230,93.88
pa127,100
ni85,100
re724,38.86
ha1441,57.63
ma585,100
sh959,15.29
lu1143,100
bu1367,2.13
ru443,1.68
ve177,9.78
jo250,58.54
re92,15.05
br478,87.42
ca714,95.49
do1114,95.23
ed1281,61.87
em416,0.51
na397,90.94
ca471,48.96
kr640,5.51
ke1292,100
ca1112,62.23
la1090,4.74
st755,1.57
ev1670,5
ri270,6.36
be741,11.17
ve528,0.2
vi495,100
ma239,58.69
gr291,53.61
do253,81.27
ki442,5.85
op498,95.73
re1217,50.28
ch503,11.62
iv1215,44.5
go422,15.41
ma1392,71.27
la1556,29.81
ty1085,90.88
ge1115,21.2
au279,85.94
ch61,98.19
el1064,50.04
na234,100
zo1241,67.11
qu361,11.52
an1350,0.57
el247,88.05
un204,49.87
el1648,1.87
co1475,29.99
ca1048,58.2
an1419,2.18
be198,94.75
st311,65.06
ri569,77.03
te1401,90.47
eu1036,79.69
ro131,93.09
em423,78.35
ha789,53.32
de819,100
lo941,100
je259,9.07
te1190,39.82
je1523,6.84
jo911,89
do68,25.45
al216,33.93
wa200,12.56
ko1585,0.26
je673,43.58
de939,37.36
ar1530,0.08
ma773,81.62
jo485,41.15
br1203,64.1
ca833,55.23
fi1667,11.37
ca144,4.59
gr971,100
va1154,3.68
ch261,100
rh730,73.19
ma1596,1.09
gl1688,0.33
ja202,88.76
re298,3.36
su1344,81.17
li655,80.5
ra1429,45.36
da607,3.68
li1258,65.54
va63,5.15
ja1602,1.6
wi99,84.52
ca438,39.37
ja1132,100
ri1606,0.51
or1271,88.74
ch1677,10.2
es82,80.76
na1358,2.94
ch531,8.87
jo1576,1.33
or328,100
da439,70.61
el974,2.03
el1124,100
gu151,51.91
gu310,100
br353,100
iz1621,0.74
ca1454,100
me1531,9.01
an603,92.82
ce691,68.85
ma1047,88.72
to269,3.72
er669,74.89
el371,8.14
wy260,11.66
ma1144,100
mi1590,8.12
re953,100
et1201,93.14
gi1508,27.39
ma540,44.86
jo167,81.58
le1637,2.24
le120,51.3
ad1575,21.04
br574,0.55
je1598,1.81
iv647,65.11
ro1087,100
wa684,0.69
so367,0.31
ya1512,3.64
le1180,1.8
sa1158,71.94
la166,100
va350,41.78
ri958,53.55
li1497,7.53
jo66,89.89
ca73,0.46
jo140,7.33
lo1420,97.17
do1626,0.22
br1209,57.79
pe1597,0.03
ju1562,0.1
mi1458,51.68
ni130,38.32
ka1566,0
la31,29.61
an1394,27.95
st1421,76.87
ro967,0.87
dr413,22.98
le319,80.02
te824,88.31
ma318,23.16
tr884,89.82
ka1166,21.29
mi214,47.36
ja544,61.54
le851,89.35
ca1122,84.69
fa1412,2.96
do1083,6.7
ka1364,92.03
el1189,1.07
ra461,13.24
ja1058,100
te579,9.29
hu235,100
cl392,100
su1046,71.96
ma1507,4.19
se1168,1.74
al87,100
da1160,86.09
vi143,100
ko1647,0.05
al515,68.63
ch996,87.07
ly1410,91.35
ro570,85.82
st489,7.62
jo871,95.18
gi266,3.15
er541,6.73
em1494,95.1
de1659,1.52
ir1393,100
zu762,100
sh1652,0.83
li905,100
ka1570,0.11
ra638,77.55
na1298,82.43
ki25,16.07
do829,79.64
mo1001,89.51
ra1430,83.66
ke111,100
wa992,85.44
an693,51.91
ta1066,9.98
es16,12.22
am1543,3.23
fo1405,34.6
jo1084,30.39
be437,33.53
ma935,85.74
ba1283,2.75
al1612,9.18
la1183,39.83
ar1427,78.41
fa1396,38.45
el378,84.57
ma1092,76.28
do89,100
ma417,82.93
mi592,100
ti86,100
fa180,92.97
wy54,70.16
er1121,7.72
ke937,88.57
tr907,91.58
be1406,79.07
lo484,31.01
be632,62.26
pe203,40.12
ma563,38.72
ma857,14.25
sa463,56.81
to581,81.04
te1038,38.47
