netid,% of videos watched
el604,100
pe169,78.21
ch1404,7.57
ka1733,2.6
ha1202,100
br1514,3.77
jo1384,0.36
an693,40.04
mi459,100
ma1116,1.5
ru51,89.19
ch996,74.11
lu403,100
sp155,100
al1079,95.5
jo559,11.76
ba1243,26.95
pe1597,3.28
ca833,73.62
el1481,100
fa180,92.11
ni326,0.34
wa70,6.51
je1609,26.05
ca1236,13.2
ve1498,21.08
la1183,65.09
ju876,71.73
br933,85.31
lu726,81.94
re9,100
ra1429,66.25
ma1708,0
la1057,10.02
ha1142,1.75
jo1506,38.66
vi1409,62.03
vi81,4
be878,1.15
jo66,81.93
ly890,51.77
is1504,6.93
sa782,79.29
ma408,5.7
ed1017,85.43
za303,95.34
fr642,87.07
cy934,3.06
la945,80.98
sh302,55.7
we573,50.29
el1448,85.3
ke845,18.4
ul664,6.15
be59,6.76
ri802,10.87
sh1555,0
fa1396,40.08
la65,100
ke1138,4.01
sh1324,9.14
pa1176,3.14
un204,78.58
he1584,0.92
de1465,54.17
ar1711,19
as779,100
al957,91.99
la1635,0.13
ka441,1.93
lo1008,52.39
ea653,100
tr1694,0.04
we984,67.55
my1375,53.44
mi1718,20.63
ab273,39.21
do1626,0
an1541,9.38
ti86,100
ad1575,0.27
me90,86.29
tr1467,0.35
ev456,70.42
ma872,100
id268,90.87
ga659,88.77
th224,13.38
ch61,87.93
ve177,11.65
ed1281,49.65
co1094,3.85
or1182,57.34
je1724,7.8
ro809,89.48
me267,78.51
ma554,43.14
mo847,30.25
sh1627,4.57
li905,100
sh759,100
ma857,6.32
la449,86.76
ju1187,68.98
di1428,66.29
ni1418,38.13
eu1036,100
gu317,82.54
al473,0.24
ja931,28.47
ti748,75.82
la976,31.25
es827,18.25
ka1570,40.08
mi41,86.74
co1624,11.71
si838,9.75
na1298,81.21
ro614,2.54
co1475,34.02
ga906,7.79
be632,77.05
co622,30.45
ab225,25.46
ja1025,72.81
wi1660,2.86
sh959,2.1
ph1649,0.14
ka1397,72.82
bo465,47.39
tr907,77.81
si1245,7.6
ia1014,2.07
jo427,3.53
ir1393,100
em416,9.74
so961,44.83
le28,81.74
fr1278,1.32
ma1285,90.74
gl1688,4
al649,88.87
co33,52
je673,20.14
do1114,100
ke1292,100
ch62,100
ko1647,17.02
je734,97.7
lo535,3.81
th335,5.02
ag238,95.89
br1103,93.19
li1663,13.34
do89,100
ti1022,79.39
li655,75.59
tr1279,8.5
gl47,8.19
fe1159,8.82
ma239,81.45
ma773,66.79
je1177,7.45
el378,68.01
ce1679,1.85
es82,95.68
rh730,92.14
fr1028,2.75
te1190,36.53
ri958,47.76
an1510,12.82
ce691,87.92
ja1618,4.03
ma60,74.4
te1038,27.3
pr1024,6.85
an182,14.6
ch55,100
ra725,49.2
ka817,0.17
ak1460,10.56
er296,100
sa1505,87.63
ri270,44.32
we1646,24.61
sa1158,100
he384,1.35
de1276,19.69
ji1464,91.41
ar1427,86.94
zo1192,43.92
ju864,5.06
pa1016,4.34
ma1275,100
ca1454,100
xi675,47.09
dy1520,3.76
jo1576,0.52
ru1737,9.35
na1358,13.31
fe1456,94.05
cl760,50
se881,1.72
ka1364,83.68
