netid,% of videos watched
ca339,13.42
br1203,38.19
ro399,0.38
wi1389,89.77
ma1686,3.14
ma786,66.24
ma935,95.71
gl154,87.04
st311,42.52
iv1215,43.76
pr1024,20.25
al868,44.74
br933,98.01
da118,9.21
ot577,2.04
li979,14.02
na1519,0.27
co1624,0
le851,74.92
pa127,100
la1595,9.88
sh1555,16.83
ho1466,46.85
is1442,84.23
na234,100
pr796,79.69
li1258,92.88
st1421,90.79
an128,15.6
er296,100
ke1292,100
ad1710,14.75
ro831,0.73
or1182,51.14
co870,4.95
ju1316,78.22
la123,100
lu1035,83.33
re740,67.53
te1401,65.85
ty1085,72.81
ja202,86.74
ja544,56.16
ch62,85.99
lu23,96.81
tr148,16.57
ga659,79.76
da677,0.25
ta737,100
al283,0.78
gr1256,100
ma585,100
ke380,90.93
jo1639,8.91
de1659,20.63
ni85,100
ca606,12.95
ta491,6.32
mo278,36.54
jo222,85.03
tr1694,9.78
no1489,14
cl1030,63.97
la1090,4.27
eu1036,100
tr907,64.55
mo855,0.67
ma556,85.91
da1160,100
ag238,79.02
ma554,31.91
he265,0.32
ka1263,13.17
mi1590,8.76
qu361,5.21
an736,13.52
ma965,25.61
ly1224,13.44
do705,26.33
br1514,3.5
ev456,5.95
lo1420,95.89
fa1396,47.92
jo1438,44.34
ni372,31.59
ly1410,92.61
vi44,10.14
ri569,68.69
ba1243,8.13
vi1409,31.03
va10,79.89
sh1096,10.71
wh883,3.82
ka1166,1.32
bi1674,0.5
be198,68.55
he630,2.65
wa1307,50.82
ju1187,87.24
oc386,16.27
wi5,81.22
al1052,14.35
jo1336,52.57
ji249,0.79
na915,85.57
ke937,100
me267,100
bo545,6.68
tr894,5.68
sa175,21.49
me90,84.44
ko1267,64.81
ju876,72.21
wi1249,41.86
ar683,100
al1204,100
co1104,48.91
wi1181,15.26
el247,82.54
we573,71.19
ga733,90.31
co622,45.33
kr1162,5.88
fi1037,88.43
la1075,12.14
lo1050,7.58
do944,87.92
ca1311,84.04
sa1341,80.84
jo1193,100
we1646,15.36
ma1047,96.6
na1298,88.7
ba1288,58.08
ce1312,100
ra316,3.3
ya1512,0.48
al87,100
fo1029,95.32
ev1670,0
ma563,37.9
ta629,5.19
ma417,89.08
ca438,20.25
de999,6.59
sh1652,6.76
me1531,3.3
ma1415,79.84
co1342,76.99
ar1185,87.97
la65,100
cl610,12.02
