netid,% of videos watched
li979,24.66
da1365,23.1
re1217,34
gu151,26.8
do89,100
ra638,94.69
do705,7.93
co360,0.36
lu1143,100
je1724,0.08
da968,9.36
na234,100
em423,81.44
ju864,7.95
ve67,2.68
jo167,87.14
cu116,53.64
sa463,86.02
go422,16.18
ti748,84.91
zo451,6.92
je673,49.83
em1494,73.54
jo1416,6.13
da341,22.29
ch1605,7.77
fe1456,100
lu553,89.35
la1075,24.36
st489,0.77
de819,83.44
ni85,60.85
ch62,79.03
er296,100
me435,95.34
fl430,3.01
ja544,93.66
ri1106,100
eu258,5.84
la1595,5.27
lo1008,55
wi5,88.97
ju631,24.18
ri958,50.32
fr1195,39.07
je1561,2.8
jo1506,17.9
tr884,100
ar1427,93.15
ke1408,6.12
sh759,100
el1481,100
ro158,17.06
oc836,81.65
ch996,75.95
co870,16.23
al957,100
so961,41.26
fi1667,0.41
em1230,93.45
re953,93.1
ar683,61.84
hu1270,34.86
ar1530,2.94
ma1295,18.43
na1519,5.02
gu310,95.06
re1378,44.6
ch61,45.46
ke937,100
da1655,0.14
de1376,4.03
za303,91.16
al393,74.01
ma960,100
li1663,5.32
tr1694,0.4
ad1191,100
na1298,85.11
ma1596,0.6
co135,95.74
ke1292,74
em1500,89.5
tr907,73.41
gl47,13.37
te1190,42.98
mo1001,82.76
fe1159,68.25
no233,20.93
al649,72.56
pe271,85.13
ke380,88.67
yo1289,24.79
br1203,40.04
da46,97.2
ra698,97.93
jo66,87.34
sh1555,10.26
ed1080,4.34
ka211,3.92
ha172,86.21
ha1441,20.82
ev1670,8.27
el604,75.11
mi1320,7.86
ni1517,8.24
rh730,80.94
mi1399,5.97
lo1050,12.3
ne529,100
me1622,19.66
pa428,12.6
do1146,87.23
ch80,12.11
sa1341,81.94
co1475,54.54
sh1627,13
le28,85.6
he1219,2.97
ro697,89.04
jo911,79.07
jo1336,52.93
ka784,17.85
mi1458,31.84
ji1464,92.37
an687,77.48
ve682,11.51
be108,78.79
el378,93.35
ma1686,2.8
an156,73.65
al805,35.28
ha1315,2.2
la1556,11.82
ja1058,73.79
lu1035,82.96
an1259,34.17
ja584,80.34
dr413,9.99
un204,73.26
ma1392,95.81
le229,5.46
ma114,64.52
ab330,87.14
be396,1.64
ke111,80.94
ro1563,2.75
le1637,0
ca898,75.38
me267,100
co949,74.72
ma786,89.13
ve1498,8.18
de983,2.55
ch418,87.38
ad1575,4.64
pe169,40.86
wa992,100
cl348,100
ja1618,1.03
dw1214,21.24
al333,1.48
er669,64.31
ce1679,0.82
fo1029,100
zo1192,34.03
ja1132,86.33
au279,91.25
ho1466,52.54
jo485,75.38
fr288,27.94
fl752,72.36
wy54,79.36
al87,80.52
ji775,31.05
ko1647,0
ir388,18.85
ri1361,85.13
el247,82.38
ow1043,67.01
ne336,6.35
ma556,100
gi468,20.49
da1160,100
el1648,0.55
sh230,100
wi1249,29.31
th1423,8.87
pa1348,76.41
do829,66.03
mo278,14.56
ko1356,78.65
ma1275,100
ce1312,84.51
de407,54.16
gl1688,0.63
te482,16.23
ja521,0.97
bu181,5.16
ch568,71.11
fi1037,81.95
lo394,100
ri1606,6.42
zu762,100
ge566,30.58
gr513,74.32
fa534,23.88
sa1158,100
ma1092,82.14
li45,3.03
ca671,100
la84,8.12
vi143,59.72
an488,81.78
do1308,39.21
la1635,0.81
wi618,96.23
br478,64.69
ch950,18.18
ca1207,2.09
ga659,69.14
ha53,8.28
ch261,63.32
te646,100
te1198,3.64
ag238,95.01
ja168,14.12
is138,1.7
gi1508,36.09
vi81,8.25
ha1142,4.75
be59,12.1
he1584,6.68
as779,82.64
ka1566,0.78
be1406,85.31
no1489,40.96
ar904,44.86
ch1369,100
ch404,7.56
br1209,93.84
ce766,76.34
jo871,92.37
is37,25.97
wi1238,92.2
ar410,100
la449,82.47
di1428,67.31
ly1410,60.06
ed1696,5.17
ka1364,86.02
el704,3.94
le729,7.8
je734,95.55
re740,82.75
lu726,100
bo849,91.85
ko1267,100
fr1222,11.24
ma325,30.09
le1148,0.33
we1218,3.45
qu245,100
la171,6.03
to1363,100
le1284,65.49
an1541,11.49
pr1024,0.59
bo465,25.41
li1153,58.05
ne1293,0.49
je104,65.21
mo1074,100
fo1405,44.38
ja924,100
ca833,56.61
br469,0.08
ma242,74.74
al1204,91.9
al1194,74.06
pa739,100
ma932,2.29
la1183,30.74
ha813,3.97
jo145,91.21
zo1241,63.28
cl760,85.01
tr894,7.71
wo699,3.89
ga536,76.33
ge26,58.05
iv647,100
is1442,72.07
ea653,53.4
la166,76.91
ro131,100
wh14,100
wi1660,6.92
ju1316,100
ni1257,59.48
bl686,60.53
sp474,93.19
