netid,% of videos watched
ca471,29.93
po1134,71.5
fr1195,19.46
ke380,77.74
sc1225,0.98
al393,92.27
jo1290,3.6
lo394,78.39
en475,87.49
sp474,100
da1365,59.47
gr513,57.23
fa1443,64.89
fe240,84.47
ra1503,10.94
ma936,29.67
ja1602,2.87
di1428,24.74
la1635,10.88
rh730,93.42
ed1281,24.07
ke209,21.66
he1584,14.25
jo1193,66.39
ja924,100
vi495,100
sh759,69.61
ri1106,100
su575,2.35
je1561,3.45
be198,89.79
el604,90.22
jo1023,30.43
ev456,35.22
ar533,0.48
ma1047,79.85
ag238,87.95
fr989,78.42
ea653,100
th721,6.76
ma554,35.44
la123,100
ju284,81.17
ro697,89.34
ly890,65.12
an488,93.89
al87,73.94
te793,6.36
pr796,100
le747,16.66
da860,4.95
ma540,52.35
am1436,10.85
re943,81.86
br1514,34.19
ir1393,89.14
gr291,28.52
el621,45.39
cl760,97.48
hu235,100
fr642,58.85
ma563,39.47
lo941,100
et187,78.24
sh1555,2.77
co1624,7.02
ha172,64.7
we984,56.62
ma1144,100
ar904,87.38
da40,93.21
fo1405,43.74
of1250,3.55
ru1737,9.6
jo1639,0.06
li1663,16.21
do1146,82.51
le1171,84.02
jo20,6.59
ju178,5.55
lu157,24.84
ca1122,59.66
ca1352,23.86
mo1001,75.11
de819,100
al515,98.03
or328,73.25
ge893,84.15
zo431,100
no233,22.46
ti1022,87.41
ar683,87.27
vi1409,22.71
wi99,100
do1451,100
ad1710,16.85
is808,2.37
ti86,100
al1612,0.89
gu317,60.09
la166,100
ch261,95.05
di1319,4.68
ju1099,2.45
ja202,74.18
to1363,100
ni1517,15.71
jo222,80.01
ni1257,81.55
xi675,40.2
be1445,26.1
yo1289,34.46
do1723,5.57
ch80,8.32
he398,100
so961,35.85
em8,14.87
je673,62.65
ro1087,100
mi592,100
to581,94.52
no1133,28.97
an603,78.16
ti6,66.39
ju1562,0.43
ki991,2.2
ra1587,11.36
sa289,5.09
al333,5.21
ni130,64.8
br1103,100
id268,72.79
fo1029,85.8
fl1097,5.75
vi1200,100
co949,98.61
ma1596,4.75
be108,76.66
do829,76.29
la976,17.78
cl69,89.57
la195,83.74
mi1450,10.08
do1626,10.82
ca1048,60.72
ri270,15.12
wi1389,74.48
me1531,7.45
ir388,13.54
co1342,37.73
la1349,14.21
bo465,57
ra638,95.83
pe271,85.65
ke728,22.93
da1118,5.68
ma773,74.71
al868,66.12
ra725,10.73
al207,8.48
ja1058,57.01
vi81,8.22
sh1548,0.42
le28,70.97
ma1178,100
el1448,97.98
ha1441,24.81
al1204,100
ji775,70.39
ma242,83.08
lo282,11.47
na1298,93.6
ri358,20.74
ju1187,90.35
ri569,39.61
ca624,11.5
qu504,81.34
el1345,9.84
le952,13.61
fr56,1.84
we1646,0.03
la1528,0.5
ca1311,79.64
je1523,13.92
el378,80.75
ma596,12
ru1211,2.49
te1401,100
ma1275,67.44
pa428,1.6
ru51,92.92
re100,14.26
ka1479,18.88
re1378,66.43
ma1415,100
li390,79.1
pa739,100
de1521,1.63
ta940,76.19
lu186,100
li979,23.66
mi185,10.86
ca833,23.46
ri1361,100
an595,8.31
da1655,1.07
ja584,91.59
te579,23.68
ta737,100
ri421,2.5
be77,18.13
br1203,48.51
er669,70.98
ba1288,7.57
jo98,5.98
or1271,85.77
ia1014,55.04
ma1265,12.64
na397,80.18
al1052,15.32
er490,4.89
za189,100
ch1677,2.44
co1104,23.46
ch738,0.72
pa127,100
la1720,1.19
ad1575,0.02
ho597,4.97
va10,100
gu1247,94.24
il792,0.47
wh14,100
la449,89.24
da1160,89.04
jo1395,6.01
ha789,100
ro570,87.95
he630,13.39
te1190,54.14
sc1398,28.56
za303,75.34
bl686,41.16
ko1585,1.63
gi963,80.84
la1169,3.4
ma444,17.9
el1254,84.3
ga906,23.33
tr170,14.45
ab1588,0
ez320,11.36
an387,2.22
sh1652,0.5
ju1316,84.85
ta491,7.82
br1209,68.65
al1079,79.92
ce691,88.39
de1659,2.13
tr894,9.39
br314,53.85
co1094,12.98
al216,46.79
ar287,11.39
ko1267,100
ce1546,0.13
an693,31.68
te1038,69.65
lo1008,35.82
ro1563,9.6
pe1131,2.96
hu1270,71.97
wi1238,80.21
fa865,8.1
du1199,20.32
co135,100
lo1420,86.21
br478,54.92
au790,3.12
re724,36.2
er296,100
em1494,87.44
ur661,31.76
ko1554,5.31
ar257,1.37
we573,49.69
ko1647,10.2
ka1364,76.03
ca251,36.04
ve67,15.28
de407,47.27
lo1650,1.04
ja1618,1.55
an1541,0.51
dr413,51.61
sa463,73.5
la65,95.21
an1259,60.46
re92,10.56
el1648,0.1
te1198,8.02
de939,17.71
me1622,1.24
ma60,84.6
me90,87.47
sa175,33.48
ev176,100
ma960,100
al283,23
ke1292,82.1
zo1192,42.13
sh302,28.91
do1308,33.5
al217,6.75
ly1410,87.28
ch62,100
la171,12.47
gr1256,83.01
cl392,100
au279,80.51
sh1453,80.47
ad1191,88.28
cr1457,2.3
an354,24.4
je826,43.2
iv1714,1.21
ed1017,77.43
ca1454,100
ce121,30.4
ga659,96.37
na680,4.82
