netid,% of videos watched
br1514,17.64
ga906,14.82
ev176,88.64
ro697,80.48
ly246,8.6
gr895,3
co1342,67.02
so961,15.92
me419,0.32
er669,74.08
el604,100
za189,100
to1363,91.69
am1543,0.02
ch261,100
ma75,100
te1038,51.37
ir1393,100
ti1022,88.87
lo1420,86.29
ma1144,67.06
gi1508,37.21
el1448,100
fi1667,9.23
os13,87.4
ma932,5.03
ha293,9.45
we1646,0
ma563,52.36
ch418,87.25
hi1234,100
ja1480,2.59
al868,9.7
gr1256,71.17
an1216,25.83
el196,2.36
la65,84.77
ma1686,2.79
de939,31.76
cl69,77.02
el1338,4.35
li433,12.09
ca1112,52.11
li979,37.08
sa175,74.49
sh302,33.87
un204,77.33
jo842,9.41
ni372,47.68
ph1649,0.56
do1451,76.38
je925,0.85
be437,37.94
mi41,87.28
ma417,92.57
ti1137,100
ge26,100
je987,17.12
ha172,95.41
wa927,3.35
cl610,17.68
re943,98.96
co322,3.99
ki991,3.63
me267,85.21
ni130,55.8
na234,100
ge566,57.38
le120,55.23
ha1441,57.35
ca898,63.46
ke845,19.36
ri569,54.28
mo1074,100
je496,0.22
ch568,89.88
bi1382,1.6
ce1546,11.36
cl1304,6.05
lu186,74.06
do829,64.85
ch1369,100
po913,16.45
ma1478,5.92
mo278,11.13
di1428,16.53
ma960,94.23
iz1621,0.4
lo706,13.84
wi5,68.76
je104,67.99
et1054,15.65
ma585,100
pa127,100
ni7,3.96
ab330,93.82
ri1106,86.64
je1598,27.67
sp474,100
ca438,41.51
ho921,10.76
ju1187,88.74
sa782,92.58
do1308,47.91
an687,68.18
ja1025,77.46
ro131,86.2
ma1178,100
la171,3.68
an693,48.91
pe271,85.4
ed1281,23.76
lu1035,79.28
ri958,68.1
gr971,100
ur661,24.97
la1720,17.82
he1584,0.03
ka1566,21.45
ro1087,86.46
sa340,9.32
br478,83.22
wi707,44.77
br1203,48.86
ra1065,3.32
je673,50.96
ne875,6.78
wi1007,8.59
de1376,8
cu116,43
ak1460,1.92
da46,92.09
za303,51.44
ce691,79.3
pa739,100
ar1530,0.42
ho1466,33.04
tr907,82.45
cl392,100
ca714,100
ed1080,2.34
gu317,100
an1394,24.98
em1230,95.95
es1,83.13
ja101,20.01
ca251,41.9
st311,31.55
la1635,9.09
ea653,100
ma773,89.44
ve177,3.74
iv1215,40.69
sh1453,91.4
ja544,62.07
gu310,100
de400,0.47
iy1309,0.2
go422,7.08
be77,25.82
de1465,52.06
cl348,100
tr1694,6.04
ni326,15.06
je734,100
jo250,21.21
me90,75.49
br933,88.44
ti823,47.75
mi1325,14.78
et1201,91.92
ja1684,0
je1609,0.03
rh730,81.33
le856,10.63
lu1143,100
re1217,45.7
zo1241,89.33
ja584,96.21
ne867,5.63
ja215,0.72
ba1288,65.03
xi675,56.49
gr513,98.26
an128,1.43
ev1670,5.91
li655,72.01
se1009,94.88
ja1058,100
co33,91.13
sh1327,5.47
th721,0.12
ca671,82.8
ma325,18.21
do1114,100
ti6,74.64
de815,3.71
pe1597,7.33
dr413,42.83
an488,90.56
ka1364,93.5
ta737,89
al1204,61.36
ma1392,67.25
no1489,22.15
ro1034,60.06
ro809,69.2
lu726,100
ro614,2.33
jo1084,40.14
ar1711,0.88
al1079,91
jo1384,6.29
de407,71.06
ja202,88.15
gu151,11.23
ca1311,70.2
mi1718,5.15
ed1017,76.56
ke937,100
ka1570,24.5
an603,88.6
et187,84.97
ca1188,5.9
fr1195,30.34
al957,100
ca1048,40.96
de514,20.31
je723,9.2
