netid,% of videos watched
al1194,86.51
wi1249,23.31
de514,2.61
gi963,98.03
li1063,9.81
na234,83.14
ch1369,87.66
zu762,99.74
ja1684,0.48
fi1667,0.1
la976,48.93
ev176,58.83
da1365,62.34
wi1389,80.26
an687,88.71
ja101,54.81
gr162,2.63
so961,57.27
de407,18.13
re1059,0.2
el621,26.84
sa1158,81.1
es1,100
mi459,78.43
fr460,5.24
el1002,2.57
vi1409,41.16
ho597,17.83
au279,82.75
me90,93.16
si1245,8.8
lu1035,80.94
mi1458,51.3
fa1396,42.29
ga346,17.13
la1720,0.03
cu297,15.15
el1481,88.14
is1237,8.97
ma540,49.61
do1451,89.73
li655,91.11
zo1192,18.78
tr1694,2.11
he78,27.51
ar1427,51.16
ru1737,18.04
da439,51.09
ro1175,0.83
ch61,64.65
de939,39.31
ma1392,87.02
na1298,86.88
ev456,51.44
ro780,15.49
me1531,3.45
ju1316,86.07
io34,1.5
ma935,92.88
ca833,54.22
ga231,47.08
zo1241,91.68
va10,84.49
la1528,2.84
va63,32.91
ca1385,3.16
al1355,74.96
sa1505,71.68
fl752,93.44
cl69,95.67
ca438,40.55
ch261,100
ca1372,5.64
ri958,33.6
wa992,81.98
ni372,34.68
bi1674,1.79
gl1688,0.02
li694,1.31
do1440,8.74
ca1236,10.2
fa1443,59.09
sp155,100
gr903,0.43
mi592,100
ju64,76.6
co1213,100
or328,100
ow1461,6.97
ru395,100
sh1453,91.2
ra698,90.29
qu245,65.21
ma325,25.05
ab1588,1.58
be741,13.84
ty1085,81.83
ne995,70.82
ei38,100
gr506,6.18
ca1122,77.09
ko1356,92.54
je734,100
gu811,2.35
mi41,90.83
fe1456,100
me1622,16.02
th335,2.29
ph462,100
jo1438,58
co1094,11.01
he398,100
ez320,43.69
el378,84.98
kr1472,63.96
al393,88.34
do1114,100
ri1606,0.38
el548,43.66
ed1696,1.26
me602,58.81
ne161,2.06
no221,11.32
em1230,86.71
va663,12.86
ma75,100
la492,4.25
sh230,76.79
to581,55.48
mi1693,0.29
ti823,71.24
la166,100
qu504,100
li1663,0.06
si1329,13.29
jo250,44.83
un204,85.27
ro1563,5.78
ph1649,0.05
me1235,20.74
ir1089,4.34
do829,89.18
er1107,4.76
ro967,4.29
et1201,88.67
gl365,0.67
do705,65.32
ly1410,76.64
ka477,5.04
be470,1.33
be709,0.65
za1220,5.73
ma773,90.9
mi214,9.1
ma1186,0.09
je1724,0.09
es447,13.85
do68,3.28
ga659,86.06
te646,73.9
jo1084,36.08
ni1257,73.33
ke1130,4.9
ma926,10.38
al957,100
ja1132,100
tr1081,96.06
ma518,13.61
sa782,71.06
no1353,4.85
ra18,8.43
le120,34.52
ke111,97.34
na1519,0.05
bl686,54.72
be437,34.09
na397,81.8
ba1288,36.49
cu116,39.68
ko1554,21.55
an1105,6.24
al1027,7.71
sa1380,9.15
ju1359,15.2
lu186,100
pa1403,5.01
ce766,81.91
je778,22.59
da1160,87.36
re1485,1.13
ro1087,87.65
do843,7.73
ti1022,71.21
al1431,4.44
bo465,42.5
be227,1.4
mo278,82.63
wh14,100
la195,82.13
ja1058,90.92
ma366,6.8
al805,65.53
ch1605,0.88
le1637,1.92
la449,86.27
ti1446,10.36
ca624,1.56
za303,74.72
pe203,49.21
ma114,73.67
le1171,65.53
co622,21.08
ru51,68.75
du1128,4.79
em423,96.85
au790,0.3
re724,49.87
ro285,0.52
li1258,88.42
we984,81.53
lo941,80.54
fe240,75.4
to1363,100
ne529,100
ca251,28.03
ro697,76.22
da1613,0.49
fl1097,2.03
sh1555,0
iv1215,14.92
be22,1.84
ga536,96.2
ly1224,2.98
do1599,10.25
dy1520,20.48
ka183,0.53
sa463,86.29
la31,29.27
ri1361,96.06
ed1017,86.07
ch996,82.53
to765,3.86
ar1185,81.22
re1378,48.71
we1646,2.01
ma1047,70.58
we573,32.54
no1313,15.04
li390,76.85
se1197,1.37
ju1187,77.21
re943,85.89
ar904,100
ag238,72.14
li877,27.14
jo871,87.01
za189,88.9
di530,80.12
an1394,51.01
le851,100
la1595,30.89
pi1032,6.33
ja753,8.49
sa1341,86.86
al515,78.39
sa510,18.66
la1635,0.02
cl681,2.45
re740,95.83
je925,3.3
jo145,81.15
ja1602,24.15
bi599,6.54
su1046,84.12
br353,100
ir388,4.85
la65,100
je985,22.53
ma537,26.49
je1598,11.35
ka1364,77.93
me1223,4.28
mi1450,7.23
wy54,91.69
be59,23.58
cl760,63.12
me846,0.31
er669,69.99
fr642,79.82
oc836,100
el247,75.82
gr971,100
wi1660,18.4
he1332,1.22
pa127,65.1
mo1076,84.44
be1406,79.23
ki991,4.96
wa274,5.77
do1626,7.36
ga733,92.19
em806,2.21
ni130,72.2
do1308,64.54
vi143,83.42
mo847,55.43
of1250,13.06
ma975,4.49
ot848,37.78
ma1596,4.23
ca898,72.78
br2,0.62
al1612,20.76
ad1710,4.92
my1375,48.12
an156,97.11
or1271,93.48
ma241,3.08
zo431,100
ti86,94.61
co1475,57.51
pa1348,100
dr413,25.9
li1153,31.24
ji775,77.37
be1445,3.32
my450,11.89
pe271,71.79
op801,13.44
es827,1.47
ma1178,53.04
fo1405,54.01
eu1036,100
wa201,8.95
ma965,23.18
re953,74.76
sh302,24.78
ph1432,0.86
ma1092,74.14
ce691,97.34
le1284,72.88
ba543,11.52
ca1311,94.82
bi922,2.78
co1624,5.4
re9,100
mi1515,5.94
ma563,66.07
ma1275,100
da1184,25.24
jo66,85.47
gu1247,96.42
ge893,89.89
te1401,100
do944,78.68
st1421,100
te1190,25.8
ti1137,87.71
ho1466,49.98
rh901,18.6
ro1034,84.87
ji249,4.26
ke380,69.78
br478,53
al1204,100
je1523,1.35
ma1206,9.86
es830,12.24
ja924,100
do576,13.49
xi675,28.67
ma556,100
te1038,33.26
lo1008,39.02
ma786,75.55
ma417,86.1
ma242,62.91
gr1256,100
sh759,83.48
le28,86.38
me435,90.37
se1009,87.91
jo1336,46.04
ma1686,2.54
ce121,2.78
lu726,100
lo1650,0.42
ab330,79.43
ra1587,0.01
wi99,100
gr895,0.45
wi5,83.39
jo1193,100
na915,100
ni1418,8.87
ta940,95.64
el337,0.09
gu151,72.27
te824,94.84
su1344,79.2
kr981,2.13
la1183,50.01
en475,97.62
je1561,5.06
ti748,85.16
ch62,100
lo660,0.1
ma1415,100
as122,8.88
la1556,7.43
he1584,0.54
fa180,58.23
br1514,15.54
ar410,100
ro131,100
do1723,3.03
ru1211,3.07
el767,0.65
lo1420,80
co135,89.61
la945,79.92
sp474,100
ru455,9.58
ur661,46.32
em1500,100
lu192,15.44
sh1627,0.04
fr989,80.68
fr1155,92.06
gi1508,65.62
ra1430,100
gr291,44.04
do1146,89.16
ca1048,21.74
je1609,17.65
da1655,7.09
ce1312,94.12
sa175,30.88
be108,67.12
ri93,4.88
ka1566,2.47
en919,5.56
je673,45.14
cl1306,9.95
jo222,89.39
el1448,95.38
jo911,85.16
ly1357,2.16
ja1086,10.11
es547,3.5
ch418,94.26
ir1393,89.92
sh1652,24.77
ef1471,4.16
po1134,86.82
bo849,89.86
an354,47.78
wi707,41.95
pa739,84.97
or1182,60.37
os13,83.92
ce1537,5.27
de1659,3.48
be198,95.68
wi1238,75.47
ma1285,91.52
lu1143,100
el604,91.06
de1465,81.95
br1209,100
ca1297,15.87
bl95,31.6
an488,87.66
ra1673,1.35
am1326,11.61
hu1270,47.58
le319,100
id268,82.96
gi882,15.11
ke937,100
je826,77.92
ce1546,0.47
sh1303,18.39
er296,100
fr1195,67.3
ma1044,2.67
jo136,4.92
ma526,0.81
ol1040,3.75
ha1110,1.58
be77,25.31
ke1292,91.38
ya1512,7.42
sh620,78.97
rh730,74.01
pe169,54.61
be632,92.77
ra973,4.06
al1120,0.45
gr513,89.11
fi1037,85.59
ja202,82.42
ad914,90.21
el1334,0.4
st311,38.63
an595,0.06
tr884,76.56
ow1043,16.73
ro570,73.81
ca1112,88.31
ma960,100
ma1144,93.08
co33,37.05
sh1096,1.53
ad1191,100
ro153,1.87
ma146,1.56
my369,4.58
ge501,62.75
ha1441,23.75
al868,30.54
br105,81.11
mi1590,1.36
iz1621,0.08
na680,5.47
co1104,47.28
ca671,100
jo1639,0
ma585,100
ma239,88.76
ce900,18.56
pr796,100
al216,16.87
an679,11.46
me445,100
ar1711,1.52
ev1670,0.02
ge26,93.94
br933,86.73
de24,1.08
li979,50.51
el1254,95.51
ab273,24.89
ni85,88.79
op424,0.81
al494,8.49
ha1202,100
he745,52.3
ne119,2.28
da40,93.11
lu403,100
ca1454,92.86
ju1562,10.71
de983,25.54
ma872,100
ri1106,98.2
ch1677,0.01
ce1679,14.31
pe866,9.19
op498,94.27
de1317,31.28
do89,100
lu23,84.46
an603,75.03
el1064,37.28
qu1302,6.65
ka1397,100
iv647,91.06
ch55,87.18
ni1517,11.21
ra638,94.55
he852,55.11
ju864,11.9
jo1576,0.25
ja584,73.68
an128,0.69
me267,100
ko1647,27.31
cl348,100
ta737,80.03
br1103,100
fo1029,93.01
sh1548,1.02
ri569,58.78
yo1289,46.18
lu553,40.85
ro399,0.76
ma480,0.24
ge566,16.65
ke209,28.45
ga906,24.08
ko1267,95.11
fr288,10.23
br314,29.88
ca714,100
gu317,96.44
ja1165,73.5
ne1293,9.49
od719,3.66
ba1283,11.33
te795,4.61
da46,92.79
tr907,83.75
hi1234,100
co1342,20.19
pa1129,8.51
ly134,69.27
si966,18.94
ed299,26.51
ka385,5.11
ju876,71.66
an1541,0.87
no1489,55.19
ed1281,57.65
cl392,77.73
jo167,98.11
ce1049,9.78
ja544,86.57
vi495,100
ko1585,1.41
ly890,94.37
di1428,30.67
je496,9.24
an1259,56.29
ja1025,82.06
an1390,100
ja1618,1.87
ar1530,0.24
jo485,75.93
mo1001,88.6
ac466,6.96
jo1506,37.19
is138,1.37
ta1426,2.23
li905,100
mo1074,85.61
br464,5.8
as779,100
de1521,0.06
ra725,19.49
je104,73.21
wi618,94.97
an928,13.41
ic292,5.3
bi643,69.06
et187,97.21
ar683,93.92
fe1159,23.1
wa1307,76.2
ha789,86.75
ti6,79.44
pe1597,30.87
br1203,59.71
ol1488,5.19
hu235,100
an693,58.7
re1217,31.39
ea653,100
ki442,1.11
co949,86.43
ad1575,21.76
cl1030,53.16
tr232,76.91
ju284,88.35
is1442,82.59
ma554,35
wy260,6.65
he601,4.62
pa652,2.6
ka1570,1.07
ma60,95.33
ji1464,89.96
mi185,0.46
pa720,72.52
mi1718,9.55
iv1714,0.71
vi1200,100
es82,91.58
lo394,100
ar1252,3.06
em1494,94.35
ro809,76.46
al649,77.83
ra1429,50.57
ca471,42.3
ha172,89.2
al87,85.42
el1124,100
ro1150,31.45
br1208,4.66
ma1708,15.17
la123,92.02
de819,100
ye1323,11.26
ca1011,7.99
ch1411,12.65
ch568,80.36
gl154,83.54
ka1020,9.62
gu310,100
lo816,5.2
ja918,31.78
do253,68.48
al1079,93.69
gi611,2.49
co322,9.54
el1648,11.06
br1381,7.49
ka1733,1.66
ri802,8.26
am1543,4.6
