netid,% of videos watched
jo1084,15.7
ka1294,14.71
da1613,9.59
wy54,82.81
me602,8.43
pe835,4.68
li1153,45.97
ma1047,84.5
de160,3.58
sa175,45.91
er669,77.47
je673,28.23
ja132,10.78
do944,76.94
ma935,89.15
pa141,2.71
ja753,0.54
hu235,100
ma585,81.8
lo1008,47.77
le676,7.22
su1046,72.47
gu1247,90.38
bi643,38.58
la449,92.05
di530,76.48
li655,96.9
gi1508,48.34
ad914,66.92
ab1282,15.34
sh302,40.04
ri1106,100
wi1249,49.11
al957,100
ca144,11.8
ni1257,76.22
an488,70.71
ea653,100
ar1185,84.42
mo1076,87.24
ly134,88.35
li731,3.43
we1646,4.92
el1064,23.5
ti1022,83.63
lo1420,62.82
lo941,100
an626,11.79
ce691,95.15
lu1251,1.54
fl430,28.75
ke209,12.52
re740,93.55
ne336,3.59
ru137,31.31
wa1307,100
co1104,43.62
cl760,90.57
sh1303,57.36
me1042,4.35
de1276,24.3
br1103,100
ce1546,1.33
ed1281,55.2
le729,3.05
lu553,100
ch261,100
me267,100
me1235,1.98
fl1097,4.77
vi495,100
ju64,90.7
al515,71.43
fr1155,75.57
be77,30.99
ju1316,100
th803,22
ye1323,9.57
ly1410,88.74
me1622,1.14
ar683,100
ro158,3.94
el1345,12.07
ca471,55.63
le1637,4.36
ma786,95.44
te824,82.88
li905,100
ke1130,30.91
ed1696,4.25
ha172,68.52
fi1037,92.93
zo1192,44.05
ab1588,4.27
la123,100
fo1029,100
ro399,13.72
ca352,8.15
wi159,4.98
jo1416,20.29
je826,44.75
tr1081,63.3
gl154,88.4
ha789,79.33
jo1639,11.16
we573,33.24
iv1714,3.41
et1201,57.79
me1531,5.13
ka1733,0.02
ka385,4.15
et1255,8.45
wa294,21.65
de1465,55.28
ji1464,89.26
ma540,11.75
co135,100
ch418,90.1
ju1015,14.59
ra1429,44.66
lu768,3.31
le28,87.62
na234,100
je104,75.29
ce1679,17.09
al868,30
ma75,100
ei38,100
ed1055,11.55
ev1670,19.34
ta737,100
jo222,97.36
ev456,48.16
la1556,0.77
ha1202,100
be632,78.92
ma453,12.58
he745,61.94
co1624,0.75
la65,100
he852,100
al1194,91.42
jo66,94.84
ph1649,4.56
sa1158,88.89
oc836,100
li1663,0.02
mi1515,23.69
br105,88.92
fi1667,11.28
an603,98.53
na1298,94.37
ri1606,22.65
ro290,9.37
gu151,37.65
as779,100
mi1693,25.65
gr1256,100
re9,100
za303,100
me435,90.52
xi675,26.58
ab330,68.39
jo250,40.19
gr903,15.05
cu116,62.29
re943,80.07
ja1301,7.34
ti6,63.37
ca163,3.4
is1237,0.89
ga906,29.04
rh72,16.2
ju486,4.12
mi1718,9.67
tr277,6.83
ar1427,43.91
el1648,4.49
ca1112,87.86
ja742,1.97
kr1472,44.65
wa684,19.74
jo145,100
no1489,31.2
co622,56.2
li1258,86.8
tr884,66.9
mi41,87.51
ga536,82.45
ch404,3.32
wi1013,9.19
la1183,39.55
wi1389,86.73
be437,50.2
ma1295,6.66
an128,5.25
mo1001,92.8
ja202,92.07
an687,100
bo465,43.38
ni130,34.74
gu317,100
ky309,21.91
ge893,89.86
br353,78.75
re1378,29.84
la945,70.52
ho597,7.28
ju886,7.32
ma1178,100
iz1621,4.52
sh1053,0.82
jo1438,53.9
ka441,9.18
te579,16.49
vi761,20.48
zo1241,64.6
da1365,48.97
ko1647,15.79
ar837,7.5
jo427,0.08
ma60,100
pa79,14.99
ja1165,100
sh230,100
do1626,1.29
ju876,71.79
ju1187,94.93
al473,19.72
ch1605,3.79
ma1062,2.84
ma1596,1.53
es1,100
ab273,16.87
sh1652,5.53
ma239,64.27
eu1036,100
ja584,86.13
ka1570,3.63
lu726,100
zo431,100
re953,94.06
ko1585,1.06
br1514,33.69
ez320,59.78
di1428,39.55
ma114,80.02
ra638,68.36
lu23,93.27
ra725,63.7
ri569,35.69
li877,66.63
ar904,100
la1720,5.41
fr635,8.96
sp155,100
pe271,85.69
or328,100
jo1100,5.41
ja1684,0.59
ke111,100
ch1677,1.12
tr232,85.39
da968,8.73
te646,100
la1090,3.97
ch62,100
br1203,23.53
ag238,81.06
ro1087,100
ca947,8.71
ll517,1.47
el247,84
sh1163,14.21
cl487,9.94
do1599,0.51
er296,100
ko1267,84.68
se1009,76.29
bl1331,7.17
co1475,52.31
st1421,85.08
do89,100
ve682,0.81
co33,37.57
he1584,1.94
de407,58.24
el616,11.59
ed1017,60.89
di210,6.49
je1598,7.34
mo278,27.47
ca438,26.72
co1342,51.91
fe1159,47.57
ot848,47.63
to581,83.11
ca1048,57.06
ja101,44.46
ni326,3.29
fl752,92.07
da46,86.67
el1124,100
le319,100
ja76,5.02
bu181,1.37
ha1333,10.87
ja1618,5.1
za189,100
yo1289,35.55
de942,5.7
ig1012,6.27
wa992,100
qu504,100
de588,12.3
da1655,5.69
ja918,15.51
si1351,16.47
sh1555,8.1
go422,21.66
ly244,22.83
gr291,48.93
ce1537,11.08
ke380,82.92
ra509,0.02
ta1066,15.57
mi1320,17.46
os13,85.78
ad1191,75.66
dy1520,1.45
sa1341,90.92
ma1044,0.85
ca714,100
ti86,77.57
st1095,12.69
vi1409,17.73
be1406,85.38
ar58,2.63
ro131,100
bl686,73.02
kr1477,3.75
ma960,75.06
un204,100
ma242,78.24
br314,21.23
em423,84.9
di978,1.88
es82,71.45
lu186,100
hi1234,88.3
ma1708,0.19
ma1392,55.18
do1723,0.33
or1271,88.57
jo1576,21.17
bl95,2.96
la1635,0.22
le229,0.24
sa695,0.96
da439,53.67
wa274,7.07
ni1517,0.31
an679,12.74
al1027,5.64
ph462,100
ch1369,100
vi143,100
ma374,1.65
me445,80.73
ad1710,0.96
bu307,3.51
ce1312,100
fa1396,72.25
da1118,11.38
ri1361,100
le851,100
ma325,27.97
co949,93.78
je1724,3.54
gl1688,0.13
iv1215,51.99
vi1200,94.37
sh1453,88.47
ch55,100
bi94,0.72
de1317,63.92
ma1078,12.47
ez1470,8.56
va663,29.57
li390,81.17
sh522,7.25
fe240,100
ra973,3.16
al649,79.74
so961,10.51
ly890,77.16
al805,16.41
to1363,85.72
da1160,100
la195,84.74
fe1456,100
ar1530,0.17
cl392,100
za1220,5.94
de819,100
ch568,79.24
he601,14.74
vi44,7.89
dr908,2.37
ra698,88.46
ca251,71.22
la976,58.86
am1436,4.2
el1448,100
ka1566,12.53
th349,10.4
an1541,0.08
an1390,100
ni372,53.56
la1528,6.13
qu245,100
la166,100
em1494,80.03
el1254,80.26
al1355,32.1
mi459,100
re724,22.83
me90,90.83
ru395,92.19
ka1364,92.04
ma417,88.51
ru1737,4.67
jo485,93.01
ti748,82.33
ja1602,1.38
be108,93.71
br933,92
al216,37.5
vi1407,10.63
cl1030,41.47
ja924,100
ba1288,39.94
ma773,89.72
ad1575,4.5
wi5,86.42
an693,14.79
ar1711,4.96
ti1137,100
do1451,89.79
or1182,41.95
wi99,92.53
ma1686,4.51
hu1270,19.09
ow1043,50.73
ja869,2.57
ke1408,17.21
ho567,0.96
ia1014,8.17
ch61,86.73
en475,80.42
qu361,9.58
ed804,13.78
ro1149,7.86
be198,76.42
lu1273,0.87
je1523,0.37
ga231,18
ne995,68.46
ra910,0.62
el621,14.89
br574,7.94
id268,89.58
pa962,2.24
ya1512,0.02
ka183,20.27
do1114,100
ke600,7.96
cl348,71.35
ca1340,9.6
wi1660,36.2
tr907,80.44
mi592,100
ja544,87.31
ma1285,72.31
do1083,11.43
ma526,3.01
wh14,86.8
na436,1.78
be227,12.69
es16,6.4
le120,39.75
gu310,100
lo1650,3.1
be741,2.95
op498,73.17
ra1673,7.61
ne529,100
rh730,79.66
bi1674,9.07
my369,15.05
te795,14.73
ma1265,13.47
ho763,13.39
st311,63.92
am1543,0.29
ja1058,100
gi963,100
pr796,73.47
ro1563,12.62
ro697,75.63
ar35,1.93
al1021,27.46
sh620,100
wy260,5.75
gr971,100
jo1336,43.72
au279,70.58
ev176,100
ca1122,85.31
el1481,100
ur661,43.45
ir1393,100
ca1311,94.23
le856,0.61
jo871,94.27
ca898,73.63
is1442,54.07
re1217,46.17
ru51,96.83
em1230,92.8
ke937,100
na397,96.36
ju546,21.21
ro1034,66.52
ge566,39.44
an156,85.4
cr1156,11.52
la1595,0.12
la1349,30.9
ca1454,56.39
ke1292,100
sa463,80.74
gi266,4.87
lu1041,9.27
fa920,0.53
sh1627,3.56
jo167,93.66
an1394,43.27
de939,43.99
sh759,83.01
er1121,1.24
ma1144,86.9
fa1443,72.84
ro809,76.8
je1609,3.03
lo394,76.69
he398,100
co1213,100
pe203,43.03
ga659,91.78
do1146,89.13
da40,100
ju1099,16
ca73,9.71
pa1348,100
ma563,30.16
is37,14.49
lu1143,56.38
sh1548,3.6
ar410,100
