netid,% of videos watched
ji1464,73.18
fo1029,70.4
br1514,9.02
li694,13.67
ab330,82.32
sa1505,93.83
te1190,39.27
wi99,100
qu504,83.75
pe169,20.36
er296,87.34
je723,27.78
as122,5.4
ar1427,97.63
iv647,100
le676,15.12
ja1025,73.12
ch1677,0.61
wi1660,10.75
lo1008,59.61
ma537,1.23
br3,9.08
to1363,100
ta629,2.66
cl641,1.01
ro697,58.18
tr674,5.43
je1523,0.57
lo282,6.99
co622,8.18
ca1297,1.24
jo145,89.54
me1098,32.29
ti823,24.52
pe1597,1.16
je1609,1.89
au279,93.33
le1284,77.38
sh302,11.51
wi1389,82.96
sp474,100
fr1028,16.49
al1120,14.43
sh1303,71.83
si966,9.33
ca892,12.48
ge26,74.67
al216,57.01
do1308,30.79
ma1285,62.76
ti748,75.93
be632,83.26
wi327,13.51
ra1161,5.89
de1521,10.99
be770,2.86
le1171,95.3
ra638,82.04
jo1576,0
ab1588,8.84
ri270,4.82
tr1279,0.09
jo20,22.64
el604,100
ca898,91.4
le389,19.85
ma935,95.15
mi1693,3.2
si1329,0.23
li390,83.45
su1046,84.45
ph462,62.12
pe572,5.66
ta491,4.11
da1613,0.86
ra1430,100
an687,100
fr989,68.15
ar287,5.87
je668,4.86
al868,45.5
sh938,15.75
ve528,1.34
dr908,0.34
lu756,0.73
me1622,1.15
qu361,3.5
wa1269,6.14
la65,84.97
li1063,7.95
jo1336,27.56
wi1238,75.41
cu116,53.82
le319,100
ar39,16.48
re724,21.99
ma75,100
ch62,78.21
wi411,2.93
fr1278,9.44
cl348,84.56
sh1555,1.19
ma1125,9.62
ja50,0.24
br478,79.65
ca1311,76.06
ma1275,100
rh730,88.33
ja924,100
da1365,50.87
ma585,100
ra1673,0.8
el1481,100
li979,50.72
de1659,0.1
lo1650,3.93
ro809,94.23
lu1143,90.97
ge501,48.89
an128,1.21
sh759,100
je673,31.2
ta940,60.42
re1217,49.18
co1104,20.6
li433,0.74
ma1178,91.06
qu1302,21.4
ra1429,63.57
co135,100
pa127,100
lo394,66.33
em1494,90.76
an693,18.92
ma596,12.84
ni1257,97.08
ra1587,2.68
br464,1.01
or1182,34.96
cl760,82.69
ce1312,100
gr1256,100
sa510,2
ju1562,3.5
de71,25.66
pr796,100
eu1036,58.59
vi81,15.73
ly1224,5.58
be198,93.07
lu186,100
ch1369,100
co33,53.98
gu151,33.95
gr971,100
ma788,14.91
sa782,90.04
en475,84.04
we1218,15.34
ma1392,87.08
ar800,5.92
jo250,32.59
ma60,100
ad1575,1.55
ar58,14.35
ma1265,18.67
de799,5.28
fe240,82.82
ce691,74.18
pe271,86.23
co1624,1.32
pa739,100
ir1393,79.64
ea970,1.58
em1230,75.09
ja1165,100
sa463,95.95
