"city","latitude","longitude","population","country","province"
"Zouirat",22.73038129,-12.4833055,56345,"Mauritania","Tiris Zemmour"
"Dimbokro",6.650458393,-4.710007366,46467.5,"Ivory Coast","N'zi-Comoé"
"Adi Ugri",14.88597638,38.81632808,137585.5,"Eritrea","Maekel"
"Tuzla",44.5504706,18.6800378,143410,"Bosnia and Herzegovina","Tuzla"
"Pamplona",7.390387389,-72.66001998,52917,"Colombia","Norte de Santander"
"Woodward",36.43342084,-99.39769027,12339.5,"United States of America","Oklahoma"
"Kimmirut",62.85002545,-69.88331608,385,"Canada","Nunavut"
"San Ramon de la Nueva Oran",-23.13999713,-64.32001225,69461.5,"Argentina","Salta"
"Iquitos",-3.750017884,-73.25000981,448174.5,"Peru","Loreto"
"Trnava",48.36659426,17.60000036,60919,"Slovakia","Trnavský"
"Outjo",-20.10953611,16.1400378,6363.5,"Namibia","Kunene"
"Chenzhou",25.80042645,113.0300927,251017.5,"China","Hunan"
"Kerema",-7.927001897,145.8379987,5646,"Papua New Guinea","Gulf"
"Tainan",23.00000307,120.2000427,1319156,"Taiwan","Tainan City"
"Chaghcharan",34.5167011,65.25000063,15000,"Afghanistan","Ghor"
"Mandalgovi",45.74998395,106.2660095,2984,"Mongolia","Dundgovi"
"Ratchaburi",13.54189821,99.82154496,99722,"Thailand","Ratchaburi"
"Lodja",-3.489620342,23.42000688,68244,"Congo (Kinshasa)","Kasaï-Oriental"
"Melo",-32.35948606,-54.17998519,53258.5,"Uruguay","Cerro Largo"
"Bemidji",47.47357383,-94.88018823,14063.5,"United States of America","Minnesota"
"Kogon",39.72107546,64.54576534,85093,"Uzbekistan","Bukhoro"
"Puerto Vallarta",20.67709576,-105.2449819,183969,"Mexico","Jalisco"
"Puch'on",37.4988889,126.7830556,866000,"South Korea","Gyeonggi-do"
"Orebro",59.2803467,15.2199906,95932,"Sweden","Orebro"
"Appenzell",47.3333041,9.416700505,5649,"Switzerland","Appenzell Innerrhoden"
"Great Falls",47.50029055,-111.299987,61316.5,"United States of America","Montana"
"Rockford",42.26970542,-89.06969019,204371.5,"United States of America","Illinois"
"Sembe",1.640376606,14.58002966,6396,"Congo (Brazzaville)","Sangha"
"Vung Tau",10.35537437,107.0849776,229225,"Vietnam","Bà Rịa–Vũng Tàu "
"Burrel",41.62599908,20.01600053,15405,"Albania","Dibër"
"Cherlak",54.16047833,74.82002193,7060.5,"Russia","Omsk"
"Batman",37.89041201,41.14001054,276337.5,"Turkey","Batman"
"Mazabuka",-15.86002806,27.76000036,57874.5,"Zambia","Southern"
